	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.736196319018	0.737142857143	0.990476190476	0.957746478873	0.952702702703	0.952054794521	0.922651933702	0.994285714286	0.941747572816	0.942708333333	0.878048780488	0.952054794521	0.964539007092	0.984732824427	0.909638554217	0.921658986175	0.928571428571	0.89603960396	0.884792626728	0.977900552486	0.96449704142	0.914438502674	0.871134020619	0.929411764706	0.86320754717	0.942307692308	0.929203539823	0.927966101695	0.911458333333	0.958823529412	0.965277777778	0.978260869565	0.948148148148	0.919786096257	0.882926829268	0.945578231293	0.953947368421	0.922680412371	0.901785714286	0.885964912281	0.952606635071	0.926829268293	0.986666666667	0.828877005348	0.87074829932	0.805405405405	0.963414634146	0.933774834437	0.953333333333	0.972972972973	0.993150684932	1.0	0.986111111111	0.940789473684	0.972413793103	0.956284153005	0.94708994709	0.950354609929	0.965517241379	0.954545454545	0.952702702703	0.96178343949	0.943037974684	0.873737373737	0.90243902439	0.881081081081	0.969543147208	0.979695431472	0.956349206349	0.932367149758	0.960451977401	0.972602739726	0.94578313253	0.957317073171	0.966666666667	0.969543147208	0.920187793427	0.974522292994	0.916666666667	0.95652173913	0.949748743719	0.982456140351	0.982658959538	0.985611510791	0.944099378882	0.96644295302	0.96	0.924623115578
AR2.141703	0.736196319018	0.0	0.774011299435	0.990099009901	0.941176470588	0.958620689655	0.972413793103	0.914772727273	0.988235294118	0.956097560976	0.935828877005	0.892156862745	0.950704225352	0.985714285714	1.0	0.89375	0.909952606635	0.909836065574	0.888324873096	0.88785046729	0.959770114943	0.950920245399	0.888268156425	0.908629441624	0.934131736527	0.860576923077	0.954545454545	0.946902654867	0.926724137931	0.897849462366	0.970238095238	0.964285714286	0.977611940299	0.970149253731	0.893854748603	0.863636363636	0.944055944056	0.938356164384	0.921052631579	0.89497716895	0.888888888889	0.941463414634	0.925	1.0	0.874345549738	0.88275862069	0.887179487179	0.9625	0.931972789116	0.952054794521	0.986301369863	0.992957746479	1.0	1.0	0.953333333333	0.986013986014	0.931428571429	0.940217391304	0.941176470588	0.971830985915	0.946308724832	0.951388888889	0.94701986755	0.927631578947	0.847368421053	0.905940594059	0.890710382514	0.963541666667	0.973958333333	0.95564516129	0.931034482759	0.953488372093	0.964539007092	0.924528301887	0.949685534591	0.958620689655	0.952631578947	0.908212560386	0.960264900662	0.909090909091	0.967032967033	0.948717948718	0.982035928144	0.98224852071	0.992647058824	0.949367088608	0.972602739726	0.94674556213	0.928571428571
AR3.141705	0.737142857143	0.774011299435	0.0	1.0	0.980769230769	0.981595092025	0.987654320988	0.904255319149	0.994623655914	0.924882629108	0.935323383085	0.904545454545	0.987654320988	0.987096774194	0.993006993007	0.927374301676	0.886363636364	0.906614785992	0.896226415094	0.839449541284	0.979166666667	0.983606557377	0.891191709845	0.844221105528	0.933701657459	0.859728506787	0.976744186047	0.941422594142	0.913580246914	0.921568627451	0.955555555556	0.993710691824	1.0	0.952054794521	0.867021276596	0.851674641148	0.975308641975	0.969696969697	0.947368421053	0.920168067227	0.900414937759	0.959641255605	0.9375	1.0	0.776595744681	0.835526315789	0.80412371134	0.971590909091	0.957575757576	0.981818181818	0.987577639752	1.0	0.992857142857	1.0	0.963855421687	0.993710691824	0.931216931217	0.94472361809	0.980769230769	0.987421383648	0.97619047619	0.981595092025	0.976470588235	0.94674556213	0.841584158416	0.854368932039	0.840425531915	0.966183574879	0.960784313725	0.958174904943	0.915887850467	0.934426229508	1.0	0.931034482759	0.983240223464	0.987804878049	0.971153846154	0.928888888889	0.98224852071	0.899497487437	0.948186528497	0.957345971564	0.977900552486	0.966850828729	1.0	0.959770114943	0.98773006135	0.973404255319	0.880597014925
BB1.141690	0.990476190476	0.990099009901	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.991150442478	0.989795918367	0.992	1.0	1.0	1.0	0.986842105263	1.0	0.993939393939	1.0	1.0	1.0	1.0	0.989795918367	1.0	0.987012987013	1.0	0.983333333333	0.992700729927	0.993243243243	0.990384615385	1.0	1.0	1.0	1.0	1.0	0.991935483871	0.98	1.0	0.990384615385	0.992907801418	0.993288590604	0.991379310345	0.985915492958	1.0	0.991228070175	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.982142857143	1.0	0.988372093023	1.0	0.976744186047	1.0	1.0	1.0	1.0	1.0	1.0	0.991666666667	1.0	0.989795918367	1.0	0.993670886076	0.991379310345	1.0	0.977777777778	1.0	1.0	1.0	0.989795918367	0.992	1.0	0.990291262136	1.0	0.990384615385	1.0	1.0	1.0	1.0	1.0	0.987012987013	1.0
BB2.141659	0.957746478873	0.941176470588	0.980769230769	1.0	0.0	0.671428571429	0.833333333333	0.968992248062	0.86	0.980392156863	0.985611510791	0.923076923077	0.641791044776	0.782608695652	0.796610169492	0.866666666667	0.938271604938	0.869565217391	0.961290322581	0.994413407821	0.957627118644	0.933962264151	0.970802919708	0.987096774194	0.867924528302	0.953216374269	0.788235294118	0.983050847458	0.989417989418	0.942446043165	1.0	0.774647887324	0.80303030303	0.987341772152	0.947368421053	0.975460122699	0.822784810127	0.772151898734	0.814516129032	0.93023255814	0.921348314607	0.953947368421	0.924528301887	1.0	0.97385620915	1.0	0.980769230769	0.897959183673	0.875	0.869047619048	1.0	1.0	1.0	1.0	0.821428571429	0.701492537313	0.97619047619	0.96992481203	0.805555555556	0.724637681159	0.792682926829	0.76	0.865168539326	0.870967741935	0.940789473684	0.993827160494	0.986013986014	0.985611510791	0.992753623188	0.984848484848	0.987261146497	1.0	0.857142857143	0.913461538462	0.827956989247	0.943181818182	0.94776119403	0.969325153374	0.662162162162	0.979020979021	1.0	0.972027972028	1.0	1.0	0.855072463768	0.941176470588	0.789473684211	0.95652173913	0.965986394558
BF1.141647	0.952702702703	0.958620689655	0.981595092025	1.0	0.671428571429	0.0	0.6	0.978102189781	0.858490566038	0.993827160494	1.0	0.885350318471	0.492307692308	0.621212121212	0.677966101695	0.833333333333	0.940828402367	0.844086021505	0.95652173913	0.994623655914	0.984375	0.928571428571	0.972222222222	0.981366459627	0.855855855856	0.960893854749	0.720930232558	0.983695652174	0.989795918367	0.96644295302	1.0	0.597014925373	0.65625	0.976470588235	0.964788732394	0.976470588235	0.73417721519	0.844444444444	0.806201550388	0.889534883721	0.930107526882	0.942675159236	0.90990990991	1.0	0.975	0.990909090909	0.975308641975	0.894230769231	0.835164835165	0.813953488372	1.0	0.989010989011	1.0	1.0	0.767441860465	0.657142857143	0.969696969697	0.941176470588	0.743243243243	0.642857142857	0.623376623377	0.630136986301	0.786516853933	0.795698924731	0.916129032258	0.988095238095	0.986666666667	0.986301369863	1.0	0.990291262136	0.993939393939	1.0	0.882352941176	0.95652173913	0.873786407767	0.936170212766	0.972222222222	0.976608187135	0.781609195402	0.98	1.0	0.986842105263	1.0	1.0	0.911392405063	0.973214285714	0.730769230769	0.967479674797	0.987261146497
BF2.141708	0.952054794521	0.972413793103	0.987654320988	1.0	0.833333333333	0.6	0.0	0.977777777778	0.844660194175	1.0	1.0	0.938650306748	0.736842105263	0.691176470588	0.666666666667	0.841121495327	0.946428571429	0.854838709677	0.955974842767	1.0	0.984126984127	0.955752212389	0.979020979021	0.9875	0.863636363636	0.972067039106	0.8	0.989071038251	0.994871794872	0.972972972973	1.0	0.626865671642	0.622950819672	0.975903614458	0.978873239437	0.98224852071	0.847058823529	0.879120879121	0.857142857143	0.926136363636	0.940860215054	0.955414012739	0.9375	1.0	0.981132075472	0.990740740741	0.981366459627	0.913461538462	0.857142857143	0.837209302326	1.0	1.0	1.0	1.0	0.790697674419	0.739726027397	0.992481203008	0.932330827068	0.753424657534	0.776315789474	0.761904761905	0.759493670886	0.795454545455	0.842105263158	0.935897435897	0.987951807229	0.986486486486	0.979020979021	1.0	0.99512195122	1.0	1.0	0.865853658537	0.964912280702	0.848484848485	0.94623655914	0.986111111111	0.982352941176	0.881720430108	0.993333333333	1.0	0.993377483444	1.0	1.0	0.909090909091	0.981981981982	0.723684210526	0.96694214876	0.987096774194
BP1.141702	0.922651933702	0.914772727273	0.904255319149	1.0	0.968992248062	0.978102189781	0.977777777778	0.0	0.967948717949	0.846590909091	0.846625766871	0.90306122449	0.970149253731	0.992307692308	1.0	0.935897435897	0.947115384615	0.919491525424	0.927835051546	0.870646766169	0.903225806452	0.933333333333	0.846625766871	0.85393258427	0.981707317073	0.928909952607	0.972602739726	0.892682926829	0.872037914692	0.852071005917	0.934210526316	0.977099236641	0.983870967742	0.967479674797	0.880239520958	0.935323383085	0.978102189781	0.971428571429	0.945652173913	0.973333333333	0.942477876106	0.964824120603	0.954545454545	0.992647058824	0.903225806452	0.847328244275	0.921465968586	0.973509933775	0.979020979021	0.971014492754	0.96992481203	0.976744186047	0.991228070175	0.992307692308	0.964539007092	0.969230769231	0.933333333333	0.942528735632	0.976923076923	0.984962406015	0.979020979021	0.978102189781	0.979310344828	0.972972972973	0.980392156863	0.911917098446	0.877192982456	0.867469879518	0.892857142857	0.912280701754	0.861878453039	0.909677419355	0.992537313433	0.940397350993	0.96	0.978102189781	0.955555555556	0.90306122449	0.986111111111	0.890804597701	0.89375	0.92817679558	0.960784313725	0.926666666667	0.967213114754	0.916083916084	0.97037037037	0.929487179487	0.88202247191
BZ1.141724	0.994285714286	0.988235294118	0.994623655914	1.0	0.86	0.858490566038	0.844660194175	0.967948717949	0.0	0.977777777778	0.975757575758	0.928961748634	0.833333333333	0.88	0.887640449438	0.87786259542	0.947368421053	0.854368932039	0.978378378378	0.985365853659	0.889705882353	0.794871794872	0.963190184049	0.983516483516	0.84375	0.965	0.840707964602	0.954773869347	0.966981132075	0.94578313253	1.0	0.826530612245	0.849462365591	1.0	0.981818181818	0.973684210526	0.919642857143	0.820754716981	0.841059602649	0.929292929293	0.894472361809	0.919075144509	0.88188976378	1.0	0.966480446927	1.0	0.983695652174	0.953846153846	0.967479674797	0.939655172414	1.0	1.0	1.0	1.0	0.778846153846	0.75	0.960264900662	0.854166666667	0.882352941176	0.925925925926	0.885964912281	0.9	0.959677419355	0.944444444444	0.989304812834	0.994736842105	1.0	0.969512195122	0.993975903614	0.986725663717	0.994623655914	1.0	0.765957446809	0.8984375	0.765765765766	0.9	0.94375	0.957446808511	0.855855855856	0.970414201183	1.0	0.988439306358	1.0	0.992907801418	0.824175824176	0.945736434109	0.709677419355	0.816	0.953488372093
CA1.141704	0.941747572816	0.956097560976	0.924882629108	0.991150442478	0.980392156863	0.993827160494	1.0	0.846590909091	0.977777777778	0.0	0.801136363636	0.918181818182	0.987421383648	0.993464052288	1.0	0.95	0.956896551724	0.950943396226	0.930555555556	0.888888888889	0.921787709497	0.929824561404	0.846994535519	0.881773399015	0.978494623656	0.935897435897	0.988304093567	0.831775700935	0.845132743363	0.869791666667	0.871951219512	1.0	0.993243243243	0.958333333333	0.934010152284	0.955947136564	0.98125	0.993975903614	0.951690821256	0.963265306122	0.952	0.939814814815	0.954545454545	0.940397350993	0.898058252427	0.891719745223	0.914691943128	0.994350282486	0.994047619048	0.993902439024	0.933333333333	0.938356164384	0.992700729927	0.986842105263	0.981927710843	0.99358974359	0.906593406593	0.94387755102	0.980392156863	0.993630573248	0.994047619048	0.987577639752	0.994117647059	0.994252873563	0.973333333333	0.921296296296	0.90306122449	0.821229050279	0.845303867403	0.875518672199	0.794736842105	0.857142857143	0.98064516129	0.948275862069	0.977142857143	0.974842767296	0.934343434343	0.882629107981	0.988023952096	0.819672131148	0.816568047337	0.833333333333	0.910179640719	0.904761904762	0.979452054795	0.94674556213	0.9875	0.938547486034	0.861538461538
