	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.767605633803	0.718987341772	0.995833333333	0.936288088643	0.941747572816	0.950495049505	0.891257995736	0.943310657596	0.92144373673	0.919739696312	0.871541501976	0.932668329177	0.962099125364	0.966767371601	0.88501026694	0.880681818182	0.904424778761	0.890595009597	0.859504132231	0.930902111324	0.939461883408	0.893905191874	0.873727087576	0.913865546218	0.843691148776	0.92523364486	0.928825622776	0.921232876712	0.895299145299	0.940594059406	0.943444730077	0.947802197802	0.94512195122	0.887019230769	0.877155172414	0.943734015345	0.917737789203	0.920879120879	0.8916827853	0.900573613767	0.907335907336	0.904862579281	0.978155339806	0.837675350701	0.855421686747	0.805383022774	0.943444730077	0.934426229508	0.931578947368	0.963325183374	0.969945355191	0.98773006135	0.987179487179	0.92328042328	0.946564885496	0.921904761905	0.935483870968	0.951351351351	0.94623655914	0.93893129771	0.950777202073	0.941798941799	0.916883116883	0.856194690265	0.888421052632	0.878587196468	0.953974895397	0.951754385965	0.945848375451	0.938492063492	0.942396313364	0.946015424165	0.933760683761	0.936956521739	0.969620253165	0.948387096774	0.918867924528	0.950354609929	0.918489065606	0.953051643192	0.939688715953	0.966019417476	0.971428571429	0.968926553672	0.907834101382	0.951219512195	0.943137254902	0.887525562372
AR2.141703	0.767605633803	0.0	0.730414746544	0.99649122807	0.935483870968	0.942857142857	0.953125	0.892156862745	0.928721174004	0.913555992141	0.907444668008	0.859259259259	0.934684684685	0.963824289406	0.965240641711	0.882129277567	0.862254025045	0.891485809683	0.871376811594	0.87358490566	0.934513274336	0.923076923077	0.894628099174	0.878048780488	0.910852713178	0.833628318584	0.925531914894	0.92880794702	0.907766990291	0.882703777336	0.948888888889	0.941995359629	0.950980392157	0.951742627346	0.881057268722	0.854251012146	0.942263279446	0.91879350348	0.90612244898	0.876363636364	0.884892086331	0.897111913357	0.900390625	0.973568281938	0.846863468635	0.867102396514	0.833020637899	0.939534883721	0.915211970075	0.938823529412	0.97149122807	0.97572815534	0.994638069705	0.983833718245	0.916067146283	0.944827586207	0.899099099099	0.908108108108	0.956626506024	0.934146341463	0.945205479452	0.955916473318	0.935406698565	0.9	0.824267782427	0.885214007782	0.882828282828	0.951923076923	0.936991869919	0.928449744463	0.919925512104	0.941176470588	0.93691588785	0.909819639279	0.916835699797	0.953703703704	0.92555331992	0.894454382826	0.946120689655	0.901119402985	0.948608137045	0.93115942029	0.964835164835	0.976394849785	0.980099502488	0.900423728814	0.953995157385	0.920517560074	0.907235621521
AR3.141705	0.718987341772	0.730414746544	0.0	0.996240601504	0.935064935065	0.933025404157	0.946135831382	0.874226804124	0.939655172414	0.919028340081	0.910602910603	0.85632183908	0.919047619048	0.956284153005	0.966292134831	0.877712031558	0.851024208566	0.880208333333	0.881481481481	0.839357429719	0.924354243542	0.917570498915	0.873362445415	0.855731225296	0.898580121704	0.829981718464	0.927152317881	0.919104991394	0.897478991597	0.882716049383	0.951501154734	0.93932038835	0.953964194373	0.943181818182	0.852112676056	0.84355179704	0.924019607843	0.909756097561	0.909282700422	0.874060150376	0.863894139887	0.89138576779	0.898785425101	0.974770642202	0.81640625	0.821176470588	0.808300395257	0.931540342298	0.922279792746	0.922693266833	0.965517241379	0.97193877551	0.988636363636	0.987980769231	0.928217821782	0.939759036145	0.893457943925	0.88614800759	0.941176470588	0.936386768448	0.947743467933	0.948780487805	0.932330827068	0.906172839506	0.847133757962	0.857731958763	0.839130434783	0.943775100402	0.938947368421	0.937282229965	0.929389312977	0.910112359551	0.939172749392	0.899371069182	0.927083333333	0.966587112172	0.922594142259	0.892791127542	0.953229398664	0.89748549323	0.941704035874	0.924670433145	0.948837209302	0.956719817768	0.97911227154	0.913043478261	0.957070707071	0.929924242424	0.873517786561
BB1.141690	0.995833333333	0.99649122807	0.996240601504	0.0	1.0	0.994897959184	1.0	0.996428571429	1.0	0.996268656716	0.996124031008	0.996978851964	1.0	1.0	1.0	0.996699669967	0.997150997151	0.997361477573	0.997041420118	0.996794871795	0.996845425868	0.995708154506	0.996	1.0	0.996389891697	0.997326203209	0.995454545455	0.997237569061	0.997435897436	0.996389891697	1.0	0.994152046784	0.993006993007	1.0	0.995515695067	0.996441281139	0.994219653179	0.994475138122	0.996015936255	0.996996996997	0.997014925373	0.996932515337	0.996402877698	1.0	0.997058823529	0.995744680851	0.99703264095	0.994152046784	1.0	0.993975903614	1.0	1.0	1.0	1.0	0.994011976048	0.994252873563	0.996932515337	0.996884735202	0.993243243243	1.0	1.0	1.0	1.0	0.994350282486	1.0	0.996527777778	1.0	0.996153846154	1.0	0.997093023256	0.996610169492	0.995433789954	0.994117647059	0.996138996139	1.0	0.994011976048	0.995983935743	0.996996996997	1.0	0.996710526316	0.995145631068	0.996721311475	1.0	1.0	1.0	0.995726495726	0.993197278912	0.996655518395	1.0
BB2.141659	0.936288088643	0.935483870968	0.935064935065	1.0	0.0	0.697318007663	0.771535580524	0.960784313725	0.786885245902	0.972568578554	0.969230769231	0.879716981132	0.708171206226	0.71921182266	0.731958762887	0.814323607427	0.921568627451	0.850549450549	0.933628318584	0.975280898876	0.917840375587	0.897660818713	0.929347826087	0.977628635347	0.814084507042	0.931958762887	0.766101694915	0.965235173824	0.971098265896	0.928753180662	0.978461538462	0.75	0.768240343348	0.975409836066	0.933139534884	0.94540942928	0.825925925926	0.759541984733	0.780864197531	0.877647058824	0.891203703704	0.912037037037	0.88654353562	0.996913580247	0.95464362851	0.970108695652	0.952069716776	0.879003558719	0.873563218391	0.851851851852	0.993865030675	0.989208633094	1.0	0.993265993266	0.756	0.722891566265	0.957871396896	0.911007025761	0.762711864407	0.771784232365	0.760617760618	0.783464566929	0.839694656489	0.841155234657	0.906493506494	0.976303317536	0.972568578554	0.964102564103	0.978609625668	0.979079497908	0.974299065421	0.991666666667	0.823970037453	0.892857142857	0.794478527607	0.91637630662	0.929155313351	0.951648351648	0.770318021201	0.962962962963	0.985507246377	0.97722095672	0.98773006135	1.0	0.874476987448	0.901162790698	0.77731092437	0.889724310777	0.904645476773
BF1.141647	0.941747572816	0.942857142857	0.933025404157	0.994897959184	0.697318007663	0.0	0.671328671329	0.962962962963	0.787356321839	0.975717439294	0.968181818182	0.88110403397	0.662020905923	0.683544303797	0.731914893617	0.770935960591	0.892712550607	0.802083333333	0.901234567901	0.975806451613	0.908510638298	0.874015748031	0.938095238095	0.975855130785	0.777777777778	0.918406072106	0.69592476489	0.953095684803	0.971929824561	0.925	0.989473684211	0.645756457565	0.69111969112	0.97972972973	0.93112244898	0.944690265487	0.753378378378	0.759868421053	0.761772853186	0.867237687366	0.865384615385	0.891719745223	0.849514563107	1.0	0.951076320939	0.963942307692	0.952848722986	0.849529780564	0.858085808581	0.801324503311	0.992042440318	0.984756097561	1.0	0.985549132948	0.665441176471	0.687943262411	0.953907815631	0.890557939914	0.716417910448	0.743682310469	0.735593220339	0.715302491103	0.793220338983	0.788961038961	0.887058823529	0.970212765957	0.973451327434	0.968325791855	0.973995271868	0.979206049149	0.974947807933	0.987804878049	0.815533980583	0.903614457831	0.797297297297	0.869158878505	0.927710843373	0.939879759519	0.761609907121	0.964803312629	0.982278481013	0.975460122699	0.986737400531	0.99481865285	0.865724381625	0.925	0.748175182482	0.859447004608	0.898678414097
BF2.141708	0.950495049505	0.953125	0.946135831382	1.0	0.771535580524	0.671328671329	0.0	0.968888888889	0.804664723032	0.979683972912	0.981566820276	0.9248434238	0.703832752613	0.678414096916	0.66976744186	0.80637254902	0.905930470348	0.781385281385	0.903361344538	0.985685071575	0.927194860814	0.879032258065	0.936274509804	0.973140495868	0.773936170213	0.947169811321	0.741433021807	0.969811320755	0.978647686833	0.954648526077	0.986376021798	0.690036900369	0.63179916318	0.986013986014	0.948320413437	0.950338600451	0.802013422819	0.822580645161	0.836898395722	0.890557939914	0.891025641026	0.917197452229	0.864864864865	0.997252747253	0.958250497018	0.975550122249	0.96421471173	0.880126182965	0.860068259386	0.821548821549	0.989010989011	0.98738170347	0.996336996337	0.988059701493	0.750889679715	0.712230215827	0.971774193548	0.897379912664	0.751879699248	0.791366906475	0.759450171821	0.726277372263	0.780141843972	0.827922077922	0.912735849057	0.978354978355	0.979683972912	0.969837587007	0.97572815534	0.986564299424	0.983014861996	0.9925	0.827814569536	0.932530120482	0.826558265583	0.889240506329	0.914786967419	0.968063872255	0.80981595092	0.983333333333	0.992248062016	0.979123173278	0.991825613079	0.994652406417	0.896428571429	0.952380952381	0.746212121212	0.874125874126	0.925110132159
BP1.141702	0.891257995736	0.892156862745	0.874226804124	0.996428571429	0.960784313725	0.962962962963	0.968888888889	0.0	0.921108742004	0.834042553191	0.835497835498	0.880952380952	0.96	0.971428571429	0.970350404313	0.883141762452	0.873214285714	0.912541254125	0.91958041958	0.848249027237	0.87358490566	0.903846153846	0.862660944206	0.844054580897	0.92471042471	0.868512110727	0.956158663883	0.847396768402	0.809946714032	0.829831932773	0.888361045131	0.958429561201	0.970802919708	0.942465753425	0.887168141593	0.897838899804	0.970454545455	0.940229885057	0.914110429448	0.918871252205	0.905693950178	0.910071942446	0.899408284024	0.93287037037	0.82797731569	0.86563876652	0.855287569573	0.965596330275	0.971291866029	0.967592592593	0.918414918415	0.922480620155	0.975069252078	0.974056603774	0.955607476636	0.951501154734	0.875695732839	0.880819366853	0.968674698795	0.971428571429	0.966063348416	0.967517401392	0.976744186047	0.961363636364	0.930902111324	0.875247524752	0.870103092784	0.875	0.878787878788	0.867513611615	0.845381526104	0.863325740319	0.936170212766	0.906693711968	0.939879759519	0.950704225352	0.911522633745	0.871086556169	0.961373390558	0.859375	0.851063829787	0.868471953578	0.916279069767	0.907407407407	0.969465648855	0.889848812095	0.958536585366	0.905482041588	0.885496183206
BZ1.141724	0.943310657596	0.928721174004	0.939655172414	1.0	0.786885245902	0.787356321839	0.804664723032	0.921108742004	0.0	0.948936170213	0.947826086957	0.865580448065	0.806916426513	0.828767123288	0.828571428571	0.827050997783	0.911320754717	0.832046332046	0.927756653992	0.973282442748	0.822125813449	0.772727272727	0.925507900677	0.963461538462	0.787951807229	0.913043478261	0.791327913279	0.936708860759	0.945205479452	0.869662921348	0.975247524752	0.800604229607	0.809677419355	0.981595092025	0.93853427896	0.932631578947	0.869688385269	0.785074626866	0.776923076923	0.847422680412	0.828810020877	0.871165644172	0.794258373206	0.979949874687	0.940074906367	0.966367713004	0.953531598513	0.91825613079	0.937853107345	0.917127071823	0.977556109726	0.986033519553	0.996825396825	0.992063492063	0.77950310559	0.746081504702	0.932301740812	0.831196581197	0.823899371069	0.851063829787	0.838616714697	0.83630952381	0.903409090909	0.907859078591	0.932059447983	0.96993987976	0.964360587002	0.934210526316	0.966592427617	0.959854014599	0.958	0.981693363844	0.726688102894	0.822815533981	0.70218579235	0.850877192982	0.897911832947	0.906066536204	0.781869688385	0.948412698413	0.971428571429	0.950592885375	0.985221674877	0.980487804878	0.810169491525	0.888888888889	0.764900662252	0.779069767442	0.877118644068
CA1.141704	0.92144373673	0.913555992141	0.919028340081	0.996268656716	0.972568578554	0.975717439294	0.979683972912	0.834042553191	0.948936170213	0.0	0.773892773893	0.880373831776	0.982142857143	0.981432360743	0.989071038251	0.912380952381	0.904424778761	0.92880794702	0.906137184116	0.8671875	0.885714285714	0.871621621622	0.822727272727	0.854043392505	0.943798449612	0.902564102564	0.968287526427	0.811320754717	0.820788530466	0.810043668122	0.851385390428	0.971896955504	0.982673267327	0.928366762178	0.908888888889	0.925636007828	0.972027972028	0.950934579439	0.929896907216	0.936283185841	0.905626134301	0.902033271719	0.903614457831	0.888613861386	0.854990583804	0.874720357942	0.885819521179	0.974299065421	0.985436893204	0.973995271868	0.883950617284	0.87811634349	0.956268221574	0.94776119403	0.959330143541	0.962441314554	0.877126654064	0.88446969697	0.972839506173	0.970588235294	0.979357798165	0.976359338061	0.988179669031	0.97465437788	0.939688715953	0.874493927126	0.892561983471	0.8	0.844748858447	0.845283018868	0.809725158562	0.832134292566	0.944578313253	0.902083333333	0.931818181818	0.939024390244	0.885775862069	0.855238095238	0.967177242888	0.808333333333	0.8	0.820987654321	0.879012345679	0.869778869779	0.971204188482	0.901531728665	0.9625	0.907514450867	0.867326732673
