	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.637941723497	0.574387947269	0.992874109264	0.8925795053	0.90625	0.91933240612	0.827608554763	0.917662682603	0.870113493064	0.872847682119	0.790936555891	0.895104895105	0.936073059361	0.944532488114	0.820742637644	0.815420560748	0.841304347826	0.8163507109	0.77089421391	0.899497487437	0.898936170213	0.830839297332	0.788206979543	0.860406091371	0.749578888265	0.883656509695	0.880764904387	0.863982589771	0.825157232704	0.895231699127	0.903014416776	0.912011173184	0.904458598726	0.817301875378	0.798479087452	0.905604719764	0.873381294964	0.866320571058	0.817762399077	0.838669950739	0.858851674641	0.844598862919	0.965925925926	0.731182795699	0.763636363636	0.688466111772	0.904893177119	0.883834849545	0.885409726849	0.935270805812	0.950226244344	0.980845969673	0.979224376731	0.872310895212	0.923131672598	0.874151758174	0.891124260355	0.913165266106	0.907076483202	0.891420911528	0.912027491409	0.898560657985	0.873107426099	0.757725587145	0.814837522992	0.802197802198	0.921052631579	0.916359163592	0.915068493151	0.891463414634	0.899170389279	0.908594815825	0.883026064844	0.892	0.944289693593	0.924752475248	0.861456483126	0.914087176248	0.852222917971	0.914649681529	0.899937460913	0.941372418388	0.947229551451	0.950292397661	0.845430107527	0.913229018492	0.903881700555	0.819076923077
AR2.141703	0.637941723497	0.0	0.577922077922	0.989860583016	0.886930983847	0.898520084567	0.919133574007	0.813422818792	0.894012388162	0.859099804305	0.839396019218	0.774032459426	0.886710239651	0.93973037272	0.947063688999	0.802518223989	0.776974080772	0.819809736989	0.788379204893	0.780458383595	0.88693957115	0.875947622329	0.801886792453	0.796146674953	0.851608667104	0.725694444444	0.872034507549	0.879420289855	0.840896358543	0.799609629148	0.909470752089	0.900882552614	0.920232052212	0.908561928512	0.80125	0.754754098361	0.895625479662	0.868362004488	0.842741935484	0.796549672814	0.801400381922	0.835701050031	0.83137254902	0.961449498843	0.743368291178	0.775829680651	0.731123388582	0.889842632332	0.857558139535	0.882596685083	0.952087611225	0.959151610369	0.988333333333	0.976994967649	0.863112391931	0.909763313609	0.832908163265	0.849725106903	0.918545454545	0.893016344725	0.904100069493	0.917261055635	0.883357041252	0.839580209895	0.718849840256	0.807351077313	0.799196787149	0.914110429448	0.902097902098	0.89196872779	0.856332703214	0.89035667107	0.898089171975	0.847368421053	0.864547339323	0.924801156905	0.879616963064	0.819070904645	0.912418300654	0.821243523316	0.916941331575	0.880983182406	0.940607734807	0.956254272044	0.965019011407	0.836933797909	0.923133776792	0.863694267516	0.838422391858
AR3.141705	0.574387947269	0.577922077922	0.0	0.994798439532	0.906110283159	0.907076483202	0.92380952381	0.787755102041	0.914863921842	0.855915399868	0.849686847599	0.778761061947	0.882092851879	0.93875906527	0.951219512195	0.809267965077	0.765710799268	0.808715336729	0.805572755418	0.730158730159	0.882817643186	0.881201956674	0.781420765027	0.750786658276	0.840319361277	0.724824355972	0.890590809628	0.86862170088	0.825495750708	0.812788398154	0.906779661017	0.916035788025	0.933774834437	0.901944209637	0.767088607595	0.739534883721	0.887763055339	0.86940015186	0.861035422343	0.802528597231	0.788523533204	0.838649155722	0.834437086093	0.96397807361	0.690193628982	0.712111604312	0.683032939714	0.896952104499	0.882005899705	0.887955182073	0.934767522554	0.95530726257	0.983050847458	0.979576951131	0.890350877193	0.917417417417	0.828165374677	0.82683982684	0.915867158672	0.909502262443	0.919661733615	0.926193921852	0.89898989899	0.858447488584	0.739805825243	0.757381258023	0.735413839891	0.908776779544	0.902124919511	0.897620764239	0.864709636248	0.85140562249	0.912419239052	0.836	0.889278206027	0.953044754219	0.883495145631	0.829207920792	0.929801324503	0.818897637795	0.90380761523	0.879423328965	0.918767507003	0.926541926542	0.970656370656	0.857243816254	0.939984996249	0.889032258065	0.786082474227
BB1.141690	0.992874109264	0.989860583016	0.994798439532	0.0	1.0	0.987654320988	1.0	0.994436717663	1.0	0.98687664042	0.98833819242	0.992779783394	1.0	1.0	1.0	0.991869918699	0.995495495495	0.994094488189	0.99537037037	0.995490417136	0.994791666667	0.991176470588	0.991584852735	1.0	0.989361702128	0.995820271682	0.987096774194	0.991614255765	0.992110453649	0.98955613577	1.0	0.991452991453	0.990131578947	1.0	0.992762364294	0.989389920424	0.981203007519	0.989399293286	0.986052998605	0.993406593407	0.99	0.992924528302	0.989459815547	1.0	0.990588235294	0.992736077482	0.995337995338	0.99043062201	1.0	0.988183161004	1.0	1.0	1.0	1.0	0.987034035656	0.989672977625	0.992471769134	0.993071593533	0.983443708609	1.0	1.0	1.0	1.0	0.992895204263	1.0	0.992565055762	1.0	0.988505747126	1.0	0.990566037736	0.992647058824	0.991924629879	0.98753894081	0.994659546061	1.0	0.990196078431	0.991316931983	0.988439306358	1.0	0.992238033635	0.991957104558	0.987096774194	1.0	1.0	1.0	0.993975903614	0.989690721649	0.992490613267	1.0
BB2.141659	0.8925795053	0.886930983847	0.906110283159	1.0	0.0	0.54954954955	0.656276326874	0.93653250774	0.665338645418	0.955056179775	0.95552025417	0.809116809117	0.528413910093	0.589840075259	0.60237388724	0.708619374523	0.869952087611	0.724354940214	0.895615866388	0.960273972603	0.867263236391	0.819632881085	0.894245723173	0.95747696669	0.711698113208	0.871895424837	0.642917015926	0.943680419122	0.953371140517	0.874533233757	0.966074313409	0.609411764706	0.640982218459	0.960199004975	0.878744650499	0.909570459683	0.717647058824	0.627743634767	0.641860465116	0.796358732299	0.825200291333	0.852216748768	0.812312312312	0.996360327571	0.921293042867	0.952823445318	0.925925925926	0.8	0.784380305603	0.7456	0.990498812352	0.981395348837	1.0	0.989941324392	0.620168067227	0.568457538995	0.918248175182	0.856845031272	0.626168224299	0.634146341463	0.622884770346	0.647840531561	0.740066225166	0.744718309859	0.840526700805	0.96231884058	0.956790123457	0.93853427896	0.963636363636	0.968569065343	0.956803455724	0.98632218845	0.710288065844	0.81845688351	0.676541232986	0.856540084388	0.884493670886	0.910987482615	0.612612612613	0.933135215453	0.977255496588	0.959940652819	0.9808	1.0	0.77260519248	0.833468067906	0.650216450216	0.813411078717	0.851528384279
BF1.141647	0.90625	0.898520084567	0.907076483202	0.987654320988	0.54954954955	0.0	0.488745980707	0.942179392142	0.682926829268	0.958333333333	0.952887537994	0.800136892539	0.482200647249	0.517857142857	0.561797752809	0.652046783626	0.827404479578	0.675577156744	0.843373493976	0.960448253131	0.865522174535	0.804580152672	0.898734177215	0.959128065395	0.664254703329	0.862633900441	0.5488	0.924242424242	0.956204379562	0.878223495702	0.984555984556	0.465465465465	0.513731825525	0.966101694915	0.887594242632	0.904624277457	0.616179001721	0.655518394649	0.624350408315	0.771428571429	0.784615384615	0.82949932341	0.769618430526	1.0	0.908108108108	0.946428571429	0.922043010753	0.761336515513	0.753846153846	0.674062739097	0.987878787879	0.975265017668	1.0	0.9808	0.536487570168	0.534269199009	0.920112123336	0.827540106952	0.572123176661	0.576763485477	0.570107858243	0.554321966693	0.661660079051	0.66974015088	0.814606741573	0.955462769659	0.958610495196	0.94419306184	0.963687150838	0.971563981043	0.96265560166	0.982520029133	0.720125786164	0.857868020305	0.696784073507	0.80193236715	0.886449659349	0.896989966555	0.638588912887	0.940128296507	0.975290697674	0.955871886121	0.981637337414	0.993948562784	0.783645655877	0.888717156105	0.592409240924	0.78866340098	0.850454227813
BF2.141708	0.91933240612	0.919133574007	0.92380952381	1.0	0.656276326874	0.488745980707	0.0	0.948288973384	0.697965571205	0.967599410898	0.973478939158	0.861247372109	0.554076539101	0.530386740331	0.512572533849	0.691154422789	0.850404312668	0.64888337469	0.841095890411	0.97842211733	0.884164222874	0.813479623824	0.902215431627	0.953974895397	0.673590504451	0.907276239536	0.621710526316	0.952258064516	0.966459627329	0.925110132159	0.982553528945	0.522342064715	0.466777408638	0.970817120623	0.915789473684	0.917037037037	0.687943262411	0.734939759036	0.734958111196	0.810092961487	0.828080229226	0.873961218837	0.791881918819	0.996434937611	0.926694329184	0.962025316456	0.939477303989	0.793949304988	0.758534554538	0.707776904949	0.984447900467	0.978142076503	0.994146341463	0.985197368421	0.629018961253	0.597281223449	0.954055994257	0.834473324213	0.583333333333	0.653287788215	0.617088607595	0.574572127139	0.653939886271	0.72044866264	0.851798561151	0.967213114754	0.966641394996	0.952012383901	0.964234620887	0.983766233766	0.973087818697	0.989544436146	0.722132471729	0.891449814126	0.740566037736	0.826158940397	0.874125874126	0.94250513347	0.713653136531	0.969320672023	0.988077496274	0.962071480671	0.989002356638	0.993788819876	0.817543859649	0.928571428571	0.601018675722	0.803584229391	0.888332140301
BP1.141702	0.827608554763	0.813422818792	0.787755102041	0.994436717663	0.93653250774	0.942179392142	0.948288973384	0.0	0.874186550976	0.71018455229	0.714491708724	0.795039164491	0.931140015302	0.952980688497	0.956101843723	0.812369701181	0.799874134676	0.847408270239	0.860702875399	0.735516372796	0.786249149081	0.83490224475	0.74540311174	0.730994152047	0.885753613214	0.785283474065	0.927327781983	0.752265861027	0.694460641399	0.709611451943	0.812591508053	0.933000712758	0.955691367456	0.906443071492	0.818300653595	0.830927835052	0.951338199513	0.908445146014	0.864598025388	0.875853507138	0.848101265823	0.855390574564	0.83698630137	0.898940505297	0.726627981947	0.762933857236	0.76908274535	0.94578313253	0.952526799387	0.947750362845	0.864845434939	0.87863674148	0.961061946903	0.96214988645	0.930197268589	0.92511700468	0.791722296395	0.804722399489	0.952490421456	0.952978056426	0.947406866326	0.95045045045	0.962574850299	0.938291139241	0.896989966555	0.790450928382	0.769662921348	0.783822476736	0.795076513639	0.799551234106	0.728411338167	0.778393351801	0.901712583768	0.83724137931	0.899782135076	0.920792079208	0.859195402299	0.779054916986	0.938356164384	0.751696065129	0.765031098825	0.791327913279	0.870827285922	0.846374730797	0.94859437751	0.803663003663	0.934528448948	0.841333333333	0.78828229028
BZ1.141724	0.917662682603	0.894012388162	0.914863921842	1.0	0.665338645418	0.682926829268	0.697965571205	0.874186550976	0.0	0.917251051893	0.92	0.792642140468	0.696062992126	0.733102253033	0.7277676951	0.726105563481	0.859536082474	0.720238095238	0.887434554974	0.950999355255	0.72905027933	0.636904761905	0.883805374001	0.938748335553	0.668079096045	0.86181369525	0.672897196262	0.89369592089	0.909415971395	0.801398601399	0.962377727615	0.686676427526	0.690251572327	0.976277372263	0.906229068989	0.889985895628	0.801003344482	0.655284552846	0.649529326575	0.766200762389	0.739071038251	0.794973544974	0.683766690091	0.973109243697	0.899603698811	0.948993288591	0.923784494087	0.869868319132	0.900709219858	0.86129753915	0.966026587888	0.979416809605	0.992680695334	0.989096573209	0.631537861046	0.593574297189	0.886379192334	0.725490196078	0.727129337539	0.762711864407	0.749249249249	0.745173745174	0.8506543495	0.853300733496	0.901234567901	0.953772943576	0.946647440519	0.894117647059	0.953615279673	0.946153846154	0.936486486486	0.971570717839	0.575803981623	0.729653220099	0.565671641791	0.763322884013	0.836162361624	0.849574885546	0.659873506676	0.910925539318	0.958865248227	0.923558026407	0.976137211037	0.967551622419	0.690397350993	0.831325301205	0.616372391653	0.654135338346	0.81023890785
CA1.141704	0.870113493064	0.859099804305	0.855915399868	0.98687664042	0.955056179775	0.958333333333	0.967599410898	0.71018455229	0.917251051893	0.0	0.626573426573	0.806984126984	0.97037037037	0.970826580227	0.984771573604	0.858299595142	0.854166666667	0.880681818182	0.849502487562	0.776824034335	0.810846560847	0.793539325843	0.710363761153	0.752212389381	0.909090909091	0.835390946502	0.948680351906	0.691401648999	0.703071672355	0.701986754967	0.751596877218	0.952973720609	0.971893491124	0.877551020408	0.853782581055	0.878504672897	0.952978056426	0.926717557252	0.886379192334	0.897218863362	0.852331606218	0.844221105528	0.842980705256	0.826771653543	0.761606022585	0.780891719745	0.811485642946	0.963530269876	0.980726464047	0.963406052076	0.806136680614	0.810593900482	0.921568627451	0.926686217009	0.935341660544	0.941132075472	0.79493835172	0.812422360248	0.958456973294	0.956027293404	0.970254957507	0.963636363636	0.984046410442	0.96480489671	0.911573472042	0.797549967763	0.806407634628	0.683333333333	0.750323415265	0.772463768116	0.676923076923	0.726967047747	0.91341991342	0.837910247823	0.891549295775	0.908554572271	0.824390243902	0.751398384089	0.949434464405	0.683586025049	0.684563758389	0.714285714286	0.800140745954	0.784122562674	0.951863354037	0.832386363636	0.93665158371	0.847051198963	0.756634304207
