	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.658342191199	0.54644315343	0.99711815562	0.939543466092	0.936295448265	0.945232463227	0.879750505761	0.958249232202	0.904703454655	0.903290395009	0.842922586033	0.936740363253	0.964761175966	0.977415849174	0.870106788769	0.859032306992	0.890821660747	0.874814123042	0.835100995249	0.936858339337	0.935982501855	0.883294197175	0.84365219547	0.896253602305	0.786116047778	0.923826345635	0.916780482266	0.898337013611	0.876800241915	0.927885761781	0.938181016325	0.947555744432	0.938112650161	0.890314801473	0.849101800787	0.936440538675	0.93020447372	0.911246741828	0.854880474639	0.852042630118	0.904004226179	0.871970719488	0.978171861694	0.766355542174	0.836089913545	0.743560323051	0.943842053637	0.92049636405	0.931424911944	0.960650110188	0.975028891587	0.994236311239	0.990374081543	0.920018410499	0.960596176902	0.911720764447	0.920786355899	0.937129477151	0.943191797257	0.922958118345	0.94092452557	0.933097464067	0.91914879214	0.782804575714	0.859786353492	0.848868051672	0.945371252741	0.950729757367	0.930439637212	0.917655700168	0.938237958007	0.950822992308	0.919008645533	0.921610756151	0.966621859467	0.947020853494	0.894680950239	0.945161666472	0.88402114299	0.935483216301	0.916638760099	0.967923420033	0.961126199905	0.979126828086	0.880347873678	0.946288213895	0.930982460629	0.874841235777
AR2.141703	0.658342191199	0.0	0.577740051374	0.996005326232	0.928613168054	0.923258486402	0.945148280135	0.838998079366	0.940587320279	0.887425819073	0.855151631827	0.828106355122	0.921844233429	0.969507072804	0.978266912355	0.839289435483	0.804707507784	0.857015452265	0.836835077569	0.799515989263	0.90669732024	0.911636779703	0.781297775805	0.824839282391	0.887750050845	0.760711923433	0.910560113397	0.908773624353	0.877309330705	0.855631176973	0.929484092132	0.932274996574	0.953090707526	0.926563864668	0.824250536322	0.764158786592	0.919559725183	0.918108281928	0.883830290994	0.833427259426	0.830886901454	0.87341274106	0.857356623424	0.978312022326	0.766917741519	0.810006924101	0.760547664842	0.909872149359	0.899543496487	0.911296542881	0.970646980497	0.977863694431	0.993221657817	0.991283615389	0.912245417026	0.941069099943	0.862511388324	0.88910380701	0.932937036333	0.938516884497	0.921131106628	0.93053022766	0.896796967632	0.899011608683	0.763033083497	0.841784888319	0.825155182808	0.936138269824	0.937191271853	0.913187899539	0.877287154189	0.91470927652	0.941284729195	0.885722503329	0.913389502016	0.954966085488	0.912613440382	0.848376566828	0.946565786402	0.82704177681	0.934300431975	0.901133458716	0.966496193328	0.967764802805	0.982675524756	0.883204194605	0.950419315983	0.894283687894	0.86994038344
AR3.141705	0.54644315343	0.577740051374	0.0	0.998552821997	0.946637653698	0.94518367266	0.956622303272	0.828748379983	0.955304829695	0.872174876275	0.873334147008	0.820506294133	0.93566111077	0.972206551274	0.979030536918	0.857115163892	0.80495522453	0.856325514085	0.852723975452	0.777695738208	0.906677746623	0.915017288144	0.789980525629	0.783930877799	0.883053837524	0.742374013438	0.932556836749	0.905584631406	0.859496870713	0.864429974697	0.919433582056	0.955609055745	0.966003543474	0.932807369715	0.797410154366	0.749818184489	0.92471923096	0.927259123621	0.906111818472	0.837618513058	0.824101401218	0.884815717422	0.862332867224	0.979065479849	0.706754217336	0.74009146165	0.70838246592	0.933093791645	0.924073258434	0.928710939594	0.959010811271	0.97753568359	0.991316931983	0.993710206985	0.928349589889	0.953950197631	0.872772107548	0.878281328019	0.948857763076	0.952441879965	0.945856478071	0.957164000216	0.937064742531	0.913191173185	0.767777433713	0.792520374743	0.785630458417	0.93177795331	0.931822160497	0.917950958834	0.879379877639	0.887641099855	0.953503844662	0.871191895803	0.928447090451	0.974475276566	0.913353554664	0.862147644723	0.950324708822	0.850912149879	0.923686838833	0.916115783714	0.952138658703	0.945586801181	0.989094963086	0.877780020355	0.965176508874	0.911034448882	0.823362907376
BB1.141690	0.99711815562	0.996005326232	0.998552821997	0.0	1.0	0.995890410959	1.0	0.99846390169	1.0	0.989197530864	0.993975903614	0.994974874372	1.0	1.0	1.0	0.994694960212	0.998496240602	0.997674418605	0.998609179416	0.998866213152	0.997395833333	0.997005988024	0.996913580247	1.0	0.991354466859	0.998696219035	0.990322580645	0.993047508691	0.994588744589	0.993678887484	1.0	0.998680738786	0.99846390169	1.0	0.998263888889	0.993654822335	0.988593155894	0.997278911565	0.989214175655	0.997329773031	0.98687664042	0.997264021888	0.992967651195	1.0	0.989552238806	0.9984	0.998456790123	0.997361477573	1.0	0.997037037037	1.0	1.0	1.0	1.0	0.993579454254	0.997416020672	0.996052631579	0.997660818713	0.991071428571	1.0	1.0	1.0	1.0	0.998322147651	1.0	0.996992481203	1.0	0.99203187251	1.0	0.994588744589	0.997399219766	0.998095238095	0.994143484627	0.9984	1.0	0.996644295302	0.9963099631	0.985935302391	1.0	0.99671592775	0.99765258216	0.983633387889	1.0	1.0	1.0	0.998516320475	0.998296422487	0.994778067885	1.0
BB2.141659	0.939543466092	0.928613168054	0.946637653698	1.0	0.0	0.656804966985	0.749203642866	0.963911635668	0.734465253028	0.968531841194	0.972725434111	0.852960244869	0.514300528689	0.726277283258	0.756112685609	0.758408869721	0.903943311516	0.774861970888	0.923216697852	0.982601673763	0.897491381894	0.872218153621	0.930786481926	0.975332637116	0.804219103104	0.882248881468	0.717010907403	0.958883599957	0.979093089165	0.895362395292	0.987152405735	0.712076460204	0.749735326946	0.975616925814	0.908865407674	0.932982142205	0.763421506141	0.654627318553	0.67205329727	0.858748835378	0.862393549727	0.901384719857	0.853223244189	0.998561151079	0.93887039622	0.978728057554	0.956603606004	0.862086900401	0.867447491282	0.820634159339	0.997122302158	0.993145382171	1.0	0.997578692494	0.679115904708	0.61019463499	0.937381673608	0.899347890109	0.714195786228	0.703878099237	0.734392366346	0.74052913261	0.845063667376	0.820421515137	0.889910255202	0.982279439606	0.978319434005	0.957169881625	0.983302390346	0.982339842412	0.977616450403	0.99475162727	0.788436542128	0.856702158273	0.748936224686	0.902172758438	0.923066712682	0.930305881877	0.63925091141	0.958509645486	0.989171479718	0.967860212648	0.992876017657	1.0	0.829583809588	0.896541639092	0.735920973613	0.871072750155	0.890855218561
BF1.141647	0.936295448265	0.923258486402	0.94518367266	0.995890410959	0.656804966985	0.0	0.48600839338	0.964629758222	0.757888862888	0.9727591747	0.973521483193	0.814559096854	0.53167962483	0.555336274282	0.65104469351	0.672686312271	0.860593263982	0.691637464161	0.882744298588	0.978175379741	0.895319634703	0.840021327209	0.926999830881	0.973040948593	0.726461647783	0.87813577182	0.581042863456	0.948480134605	0.976629306766	0.908233032575	0.992532141585	0.423920193733	0.493697788439	0.978082191781	0.899781202435	0.914025450247	0.629121308401	0.751318609636	0.672119382823	0.794699782358	0.833656923022	0.885042070348	0.822424522667	1.0	0.915743201799	0.969610958904	0.940542026044	0.811201069867	0.739646615049	0.707732115677	0.994953666398	0.985738126695	1.0	0.993946731235	0.620350051672	0.597858482886	0.934228550829	0.860330048866	0.572798434442	0.591069433829	0.542699532442	0.549095268755	0.660499067464	0.701834145445	0.844768798229	0.974003501905	0.974908562212	0.953058996889	0.98162284578	0.982040562178	0.980216256658	0.992080887149	0.789568583405	0.904964383562	0.765163554819	0.863160798014	0.918146893798	0.907450436391	0.693245704331	0.956191375936	0.987478294424	0.968529022711	0.991644126458	0.997260273973	0.867386652523	0.927860656071	0.622424214137	0.849647698416	0.883624099596
BF2.141708	0.945232463227	0.945148280135	0.956622303272	1.0	0.749203642866	0.48600839338	0.0	0.966751906804	0.767175833441	0.980723256976	0.98305360169	0.876574587775	0.642278736209	0.603545497099	0.631751036375	0.721224758897	0.879662306054	0.665721199086	0.874860314985	0.989795918367	0.919029985549	0.846241043924	0.933963105688	0.971067188763	0.746193633289	0.927822911878	0.660898750699	0.971344416239	0.983403398143	0.946537272641	0.991855586985	0.510146110086	0.470885165552	0.979825760872	0.932060854207	0.940149936915	0.727878634695	0.811261845779	0.782994290906	0.848298694984	0.865166962511	0.921099452014	0.847963057812	0.998554913295	0.940466741437	0.978219653179	0.957111253836	0.820759680937	0.783109007474	0.751860415329	0.993433356001	0.989143511047	0.99710982659	0.995157384988	0.686645821542	0.675243835044	0.966329479769	0.874776053815	0.587902559868	0.699583219628	0.667595444948	0.63455935395	0.718242014709	0.78162703185	0.879552969685	0.980744491286	0.97886770387	0.958910024641	0.979803747902	0.989177489177	0.984972225772	0.995205064685	0.76174899923	0.925678612717	0.775960134121	0.887806959693	0.916702216155	0.949962602538	0.787090558767	0.978784039029	0.993860077614	0.974667227988	0.994986684339	0.99710982659	0.876995917485	0.958881494314	0.617591161091	0.844145700961	0.924807175361
BP1.141702	0.879750505761	0.838998079366	0.828748379983	0.99846390169	0.963911635668	0.964629758222	0.966751906804	0.0	0.921713486378	0.67500853388	0.716700905002	0.82100981096	0.958691410304	0.977106060212	0.98127201353	0.874761130601	0.847053116663	0.876052941807	0.900256158814	0.73838782825	0.812487999232	0.827113054996	0.729091995221	0.733102918587	0.931528528489	0.816697608934	0.955222734255	0.807266830778	0.691314062282	0.635890325299	0.861838306588	0.962663489091	0.970814132104	0.941116231439	0.864095302099	0.87557213814	0.97044908973	0.949703752469	0.912371390228	0.920008039393	0.893773358975	0.895765958296	0.879354709081	0.944679418387	0.760987688287	0.737654070661	0.81831370541	0.965103413056	0.975125596444	0.969714968425	0.921156365772	0.938287055448	0.98052379056	0.982308833867	0.956920209186	0.956917800879	0.824076319832	0.845948203843	0.970564516129	0.973592953726	0.972506599704	0.967741935484	0.978436929823	0.965638821019	0.93709375566	0.824335031126	0.782324934467	0.830313155978	0.845526113671	0.837906716939	0.719293514629	0.808540706605	0.950388297765	0.843003379416	0.933294520885	0.955996969041	0.901964618725	0.779067581844	0.962325635083	0.713914931935	0.808431232557	0.845138160855	0.925729157494	0.879466012444	0.970483942748	0.793784499537	0.961262583838	0.886797977003	0.757623296402
BZ1.141724	0.958249232202	0.940587320279	0.955304829695	1.0	0.734465253028	0.757888862888	0.767175833441	0.921713486378	0.0	0.945543550559	0.947540490477	0.838920841615	0.754592023974	0.848890472691	0.850243565749	0.75184648149	0.897785857548	0.755331112673	0.923026030825	0.956968245029	0.766352181888	0.66313824388	0.921478804692	0.960247905275	0.707799535724	0.878553060116	0.714054088424	0.923044478586	0.947434737842	0.839280938149	0.981081257397	0.724877695297	0.763473156632	0.990801576873	0.924637720835	0.902922950699	0.831048300465	0.621507683231	0.675269139422	0.798915417666	0.78864493121	0.849319870356	0.722156611609	0.987558856279	0.918851864201	0.971717214192	0.943710355121	0.913084782903	0.948250141246	0.892505961941	0.984762696143	0.990981676528	0.995884773663	0.996368038741	0.615788130427	0.575235902712	0.906623902068	0.738583427469	0.78567674113	0.846133673222	0.835061808053	0.806828854808	0.921203671144	0.907310232915	0.94282785043	0.973704958849	0.972685848027	0.925357701912	0.974240706202	0.961272192547	0.96603948333	0.986401351605	0.597576203	0.778640735874	0.582224643544	0.813127816631	0.884959099262	0.867915670956	0.709114110579	0.932991548153	0.978783784617	0.950829191498	0.988374331461	0.982293271821	0.776134276276	0.882452028995	0.601085275136	0.696484630982	0.83822078612
CA1.141704	0.904703454655	0.887425819073	0.872174876275	0.989197530864	0.968531841194	0.9727591747	0.980723256976	0.67500853388	0.945543550559	0.0	0.614606574446	0.826741733358	0.980706897374	0.986634233103	0.993686868687	0.891754265317	0.896797549429	0.90281366638	0.898051563385	0.793020912069	0.824170524691	0.810887484291	0.722222222222	0.749452409399	0.93640374284	0.846049221755	0.960653126245	0.724720326738	0.696248196248	0.71743456478	0.810480693459	0.976900713378	0.983074472322	0.916766228594	0.905092592593	0.905409851476	0.964259728677	0.959712773998	0.916745134965	0.926204074569	0.890942451638	0.879340409721	0.871132208158	0.884606556981	0.762456237332	0.775108641975	0.837962962963	0.97929085638	0.989197530864	0.980308641975	0.86408405955	0.892688161935	0.95524691358	0.964199772816	0.960924340606	0.96673126615	0.814717348928	0.845354126056	0.972310405644	0.977527420124	0.9847065129	0.976774316185	0.990740740741	0.981212196537	0.945003773788	0.815914786967	0.799405749033	0.727196153657	0.770484866587	0.803150553151	0.671426736663	0.770626102293	0.950655694738	0.839071604938	0.924163042046	0.94363658961	0.871178989568	0.754785904048	0.96529115821	0.658190415374	0.725417318727	0.770627487826	0.843722969254	0.827227107203	0.965252023274	0.816431292816	0.962902496477	0.873948360894	0.725364929266
