	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.611510791367	0.573883161512	0.985915492958	0.940298507463	0.93137254902	0.93137254902	0.872509960159	0.991452991453	0.9	0.898039215686	0.813620071685	0.933014354067	0.950738916256	0.978142076503	0.872340425532	0.875432525952	0.88790560472	0.854671280277	0.823899371069	0.966101694915	0.939393939394	0.869090909091	0.810526315789	0.895652173913	0.781456953642	0.917431192661	0.892744479495	0.882352941176	0.85401459854	0.936936936937	0.939698492462	0.958333333333	0.92349726776	0.885931558935	0.824104234528	0.92270531401	0.9375	0.882352941176	0.84262295082	0.815873015873	0.923344947735	0.87610619469	0.980392156863	0.73476702509	0.797235023041	0.70802919708	0.945945945946	0.890909090909	0.932038834951	0.960396039604	0.989949748744	1.0	0.980952380952	0.909090909091	0.961538461538	0.933609958506	0.920948616601	0.918781725888	0.939086294416	0.933014354067	0.930348258706	0.926940639269	0.917808219178	0.783050847458	0.841379310345	0.81954887218	0.944444444444	0.960317460317	0.922388059701	0.890784982935	0.934156378601	0.96	0.909090909091	0.934272300469	0.952606635071	0.953667953668	0.871186440678	0.961538461538	0.856060606061	0.916666666667	0.916666666667	0.974025974026	0.965065502183	0.979591836735	0.894736842105	0.943127962085	0.940425531915	0.882783882784
AR2.141703	0.611510791367	0.0	0.595818815331	0.985507246377	0.908629441624	0.93	0.95	0.854251012146	0.973913043478	0.920289855072	0.880478087649	0.832727272727	0.931707317073	0.979899497487	1.0	0.82683982684	0.824561403509	0.85671641791	0.831578947368	0.796178343949	0.922413793103	0.911894273128	0.778597785978	0.836298932384	0.884955752212	0.765100671141	0.915887850467	0.916932907348	0.880877742947	0.844444444444	0.954128440367	0.938461538462	0.968085106383	0.95530726257	0.80694980695	0.755775577558	0.911330049261	0.9	0.858208955224	0.820598006645	0.813504823151	0.886925795053	0.855855855856	1.0	0.774545454545	0.821596244131	0.792592592593	0.935779816514	0.888888888889	0.930693069307	0.979797979798	0.989743589744	1.0	1.0	0.916666666667	0.970588235294	0.881856540084	0.895582329317	0.906735751295	0.958549222798	0.921951219512	0.918781725888	0.897674418605	0.897674418605	0.759450171821	0.832167832168	0.81679389313	0.935483870968	0.959677419355	0.921450151057	0.875432525952	0.916317991632	0.938775510204	0.87962962963	0.913875598086	0.932367149758	0.913725490196	0.841924398625	0.93137254902	0.830769230769	0.940677966102	0.907692307692	0.973568281938	0.973333333333	0.989583333333	0.910714285714	0.951690821256	0.896103896104	0.881040892193
AR3.141705	0.573883161512	0.595818815331	0.0	1.0	0.971428571429	0.971830985915	0.981220657277	0.823076923077	0.991769547325	0.861591695502	0.878787878788	0.840277777778	0.981651376147	0.981132075472	0.989583333333	0.885245901639	0.812080536913	0.85632183908	0.845637583893	0.737003058104	0.959183673469	0.958333333333	0.788732394366	0.748299319728	0.891213389121	0.755627009646	0.955947136564	0.901840490798	0.855421686747	0.865724381625	0.930735930736	0.990384615385	1.0	0.927083333333	0.772058823529	0.740506329114	0.962962962963	0.948497854077	0.907473309609	0.853503184713	0.827160493827	0.925675675676	0.872340425532	1.0	0.652777777778	0.725663716814	0.674911660777	0.95670995671	0.930131004367	0.972093023256	0.981042654028	1.0	0.989010989011	1.0	0.938864628821	0.990783410138	0.888	0.908396946565	0.970873786408	0.980582524272	0.963302752294	0.971428571429	0.956140350877	0.921052631579	0.75	0.759197324415	0.745454545455	0.938697318008	0.931034482759	0.924418604651	0.854304635762	0.888888888889	1.0	0.877729257642	0.972972972973	0.981818181818	0.94776119403	0.875	0.972350230415	0.831501831502	0.903614457831	0.92673992674	0.966666666667	0.941176470588	1.0	0.907172995781	0.981818181818	0.94262295082	0.808510638298
BB1.141690	0.985915492958	0.985507246377	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.985714285714	0.982608695652	0.985611510791	1.0	1.0	1.0	0.978947368421	1.0	0.989949748744	1.0	1.0	1.0	1.0	0.985185185185	1.0	0.977777777778	1.0	0.974358974359	0.988700564972	0.989071038251	0.985074626866	1.0	1.0	1.0	1.0	1.0	0.988023952096	0.970149253731	1.0	0.984848484848	0.987878787879	0.988571428571	0.986394557823	0.976744186047	1.0	0.985611510791	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.975	1.0	0.980198019802	1.0	0.964912280702	1.0	1.0	1.0	1.0	1.0	1.0	0.986666666667	1.0	0.982142857143	1.0	0.989743589744	0.986928104575	1.0	0.966666666667	1.0	1.0	1.0	0.983193277311	0.987096774194	1.0	0.983870967742	1.0	0.983870967742	1.0	1.0	1.0	1.0	1.0	0.978947368421	1.0
BB2.141659	0.940298507463	0.908629441624	0.971428571429	1.0	0.0	0.577235772358	0.739837398374	0.952941176471	0.725490196078	0.969849246231	0.977011494253	0.868686868687	0.484375	0.704918032787	0.705882352941	0.753246753247	0.894230769231	0.782945736434	0.932692307692	0.991561181435	0.909677419355	0.88	0.948453608247	0.980392156863	0.785234899329	0.909502262443	0.693430656934	0.966101694915	0.98347107438	0.896373056995	1.0	0.677966101695	0.72972972973	0.980392156863	0.901098901099	0.946902654867	0.730158730159	0.636363636364	0.685863874346	0.875	0.871794871795	0.912621359223	0.862068965517	1.0	0.949494949495	1.0	0.968911917098	0.843971631206	0.841726618705	0.792	1.0	1.0	1.0	1.0	0.68345323741	0.55905511811	0.95	0.93023255814	0.706896551724	0.655172413793	0.703125	0.7	0.811594202899	0.797101449275	0.906542056075	0.99043062201	0.978378378378	0.964912280702	0.988304093567	0.976377952756	0.981132075472	1.0	0.764705882353	0.856115107914	0.712121212121	0.892307692308	0.910112359551	0.943925233645	0.543307086614	0.967213114754	1.0	0.945355191257	1.0	1.0	0.791304347826	0.904761904762	0.676923076923	0.909090909091	0.927083333333
BF1.141647	0.93137254902	0.93	0.971830985915	1.0	0.577235772358	0.0	0.412698412698	0.965317919075	0.769230769231	0.990099009901	1.0	0.800995024876	0.389312977099	0.472	0.561904761905	0.707006369427	0.886255924171	0.716475095785	0.924170616114	0.991666666667	0.962025316456	0.869281045752	0.94923857868	0.971014492754	0.763157894737	0.928571428571	0.571428571429	0.97489539749	0.983673469388	0.938775510204	1.0	0.388429752066	0.491228070175	0.961904761905	0.935135135135	0.956331877729	0.612403100775	0.767123287671	0.690721649485	0.823788546256	0.881856540084	0.904306220096	0.837837837838	1.0	0.950248756219	0.985611510791	0.959183673469	0.833333333333	0.732394366197	0.71875	1.0	0.98347107438	1.0	1.0	0.647887323944	0.538461538462	0.950920245399	0.897142857143	0.563025210084	0.512605042017	0.480916030534	0.479674796748	0.673758865248	0.687943262411	0.852534562212	0.981132075472	0.978723404255	0.965517241379	1.0	0.984435797665	0.990697674419	1.0	0.803278688525	0.929577464789	0.777777777778	0.894736842105	0.944751381215	0.953917050691	0.676923076923	0.967741935484	1.0	0.978494623656	1.0	1.0	0.881355932203	0.96	0.593984962406	0.923566878981	0.969230769231
BF2.141708	0.93137254902	0.95	0.981220657277	1.0	0.739837398374	0.412698412698	0.0	0.965317919075	0.75641025641	1.0	1.0	0.890547263682	0.618320610687	0.568	0.580952380952	0.71974522293	0.895734597156	0.731800766284	0.914691943128	1.0	0.962025316456	0.908496732026	0.959390862944	0.980676328502	0.776315789474	0.946428571429	0.671428571429	0.983263598326	0.991836734694	0.948979591837	1.0	0.471074380165	0.473684210526	0.961904761905	0.956756756757	0.965065502183	0.736434108527	0.808219178082	0.762886597938	0.859030837004	0.898734177215	0.923444976077	0.878378378378	1.0	0.960199004975	0.985611510791	0.969387755102	0.833333333333	0.760563380282	0.75	1.0	1.0	1.0	1.0	0.69014084507	0.615384615385	0.98773006135	0.885714285714	0.596638655462	0.680672268908	0.664122137405	0.642276422764	0.702127659574	0.758865248227	0.889400921659	0.981132075472	0.978723404255	0.954022988506	1.0	0.992217898833	1.0	1.0	0.754098360656	0.943661971831	0.748148148148	0.90977443609	0.966850828729	0.963133640553	0.815384615385	0.989247311828	1.0	0.989247311828	1.0	1.0	0.864406779661	0.973333333333	0.593984962406	0.923566878981	0.969230769231
BP1.141702	0.872509960159	0.854251012146	0.823076923077	1.0	0.952941176471	0.965317919075	0.965317919075	0.0	0.940886699507	0.694779116466	0.714285714286	0.814516129032	0.955056179775	0.988372093023	1.0	0.901960784314	0.906976744186	0.863636363636	0.891472868217	0.735191637631	0.824390243902	0.85	0.713114754098	0.732283464567	0.969849246231	0.852398523985	0.957219251337	0.818181818182	0.739726027397	0.711934156379	0.884816753927	0.964285714286	0.975155279503	0.947368421053	0.818965517241	0.884057971014	0.965909090909	0.958549222798	0.917012448133	0.956204379562	0.908450704225	0.9375	0.917948717949	0.988439306358	0.806451612903	0.698924731183	0.860082304527	0.958115183246	0.968253968254	0.954285714286	0.953216374269	0.964285714286	0.985915492958	0.988826815642	0.94708994709	0.954802259887	0.866666666667	0.891891891892	0.963855421687	0.975903614458	0.966292134831	0.964705882353	0.968085106383	0.957446808511	0.969696969697	0.84555984556	0.770212765957	0.79185520362	0.828054298643	0.842105263158	0.717557251908	0.830188679245	0.988165680473	0.883597883598	0.934065934066	0.966666666667	0.929824561404	0.80303030303	0.977401129944	0.768240343348	0.818181818182	0.871244635193	0.94	0.878787878788	0.951515151515	0.827411167513	0.955555555556	0.892156862745	0.760330578512
BZ1.141724	0.991452991453	0.973913043478	0.991769547325	1.0	0.725490196078	0.769230769231	0.75641025641	0.940886699507	0.0	0.965517241379	0.961352657005	0.87012987013	0.739130434783	0.832258064516	0.837037037037	0.775401069519	0.908713692946	0.759450171821	0.958506224066	0.97037037037	0.808510638298	0.672131147541	0.938325991189	0.974683544304	0.725274725275	0.92125984252	0.741176470588	0.925650557621	0.949090909091	0.884955752212	1.0	0.721854304636	0.791666666667	1.0	0.953488372093	0.938223938224	0.849056603774	0.670454545455	0.714285714286	0.859922178988	0.820224719101	0.866108786611	0.775280898876	1.0	0.930735930736	1.0	0.964601769912	0.931034482759	0.953488372093	0.898734177215	1.0	1.0	1.0	1.0	0.604651162791	0.5875	0.927461139896	0.746341463415	0.812080536913	0.879194630872	0.83850931677	0.843137254902	0.941520467836	0.918128654971	0.983805668016	0.99173553719	1.0	0.941176470588	0.990196078431	0.979094076655	0.991836734694	1.0	0.644736842105	0.837209302326	0.624242424242	0.828220858896	0.905213270142	0.919028340081	0.7625	0.953703703704	1.0	0.972222222222	1.0	0.988950276243	0.756756756757	0.911111111111	0.558282208589	0.711229946524	0.902222222222
CA1.141704	0.9	0.920289855072	0.861591695502	0.985714285714	0.969849246231	0.990099009901	1.0	0.694779116466	0.965517241379	0.0	0.644268774704	0.848375451264	0.980676328502	0.990049751244	1.0	0.922746781116	0.93031358885	0.910979228487	0.895470383275	0.803797468354	0.854700854701	0.860262008734	0.736263736264	0.787985865724	0.964912280702	0.873333333333	0.981481481481	0.720634920635	0.725856697819	0.764705882353	0.8	1.0	0.989473684211	0.933701657459	0.900383141762	0.92131147541	0.970731707317	0.990990990991	0.918518518519	0.93399339934	0.916932907348	0.894736842105	0.919642857143	0.910891089109	0.790613718412	0.786046511628	0.852941176471	0.990909090909	0.990825688073	0.990196078431	0.89	0.908629441624	0.988304093567	0.980769230769	0.97247706422	0.990291262136	0.824267782427	0.896414342629	0.969230769231	0.989743589744	0.990338164251	0.979899497487	0.990783410138	0.990783410138	0.959044368601	0.854166666667	0.810606060606	0.72	0.744	0.801801801802	0.649484536082	0.775933609959	0.969696969697	0.899082568807	0.962085308057	0.961722488038	0.898832684825	0.767918088737	0.980582524272	0.69465648855	0.705882352941	0.748091603053	0.851528384279	0.84140969163	0.969072164948	0.87610619469	0.980861244019	0.896995708155	0.749077490775
