	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.652595155709	0.546570397112	0.997122302158	0.939524838013	0.936797752809	0.945165945166	0.878066914498	0.957388316151	0.903129657228	0.89932885906	0.84043377227	0.93609789259	0.964081632653	0.976708074534	0.868784530387	0.858719646799	0.890604890605	0.874026893135	0.835025380711	0.935704514364	0.935389133627	0.880774962742	0.844228094576	0.896253602305	0.782340862423	0.923896499239	0.916506101477	0.898640296663	0.876094276094	0.933751119069	0.939393939394	0.946468401487	0.93627954779	0.888188976378	0.848852901484	0.93606557377	0.930020993702	0.910647803425	0.85446985447	0.848901098901	0.903157894737	0.871886120996	0.978423236515	0.765395894428	0.833206974981	0.74217585693	0.945945945946	0.917870722433	0.931336742148	0.961227786753	0.977941176471	0.991462113127	0.990789473684	0.919514047077	0.960490463215	0.910591471802	0.922530664945	0.934609250399	0.937931034483	0.922173274596	0.938977879481	0.930982745686	0.919379844961	0.782766111513	0.858719646799	0.84734001542	0.939799331104	0.949579831933	0.93325092707	0.919343814081	0.936013125513	0.950617283951	0.918119787718	0.921974522293	0.964341085271	0.948220064725	0.894661921708	0.94558944765	0.881811204912	0.928571428571	0.915708812261	0.969098712446	0.96399639964	0.97920997921	0.880116959064	0.943793911007	0.930136986301	0.87426035503
AR2.141703	0.652595155709	0.0	0.572815533981	0.997340425532	0.928077455048	0.92302498312	0.94455994456	0.837375178317	0.940476190476	0.882773409578	0.855884707766	0.824925816024	0.921465968586	0.970358814353	0.977695167286	0.839202657807	0.806497175141	0.855990068281	0.836734693878	0.801592161666	0.906517445688	0.909795630726	0.774124374553	0.82474916388	0.886505190311	0.760210803689	0.906637490883	0.907063197026	0.877014925373	0.856031128405	0.933560477002	0.9324055666	0.9514978602	0.932038834951	0.814619442351	0.763482781027	0.920125293657	0.917900403769	0.881428571429	0.833333333333	0.830799735625	0.87314439946	0.854993160055	0.9793977813	0.76354679803	0.809593023256	0.762687634024	0.922123893805	0.897959183673	0.913043478261	0.970656370656	0.977292576419	0.995975855131	0.991122384274	0.909752547307	0.940983606557	0.862342819325	0.889165628892	0.925247902365	0.939194741167	0.921071176885	0.926900584795	0.893525179856	0.900519673348	0.760778859527	0.840395480226	0.824224519941	0.932960893855	0.934242181235	0.915223880597	0.877631578947	0.918495297806	0.940027894003	0.879360465116	0.90860624524	0.952487008166	0.907192575406	0.848153214774	0.941732283465	0.826470588235	0.93372982158	0.903083700441	0.967266775777	0.970890410959	0.982666666667	0.879298245614	0.947683109118	0.894528675016	0.866572036906
AR3.141705	0.546570397112	0.572815533981	0.0	0.99710982659	0.946608946609	0.945109078114	0.956616052061	0.827123695976	0.954545454545	0.870052277819	0.867115222876	0.819875776398	0.934604904632	0.9705400982	0.978210116732	0.854671280277	0.805309734513	0.851708575113	0.851063829787	0.777495232041	0.904043865661	0.914643119941	0.78640776699	0.782578397213	0.883032490975	0.739368998628	0.931350114416	0.900900900901	0.858823529412	0.865047233468	0.928186714542	0.955831608006	0.965722801788	0.921649484536	0.788476716654	0.755240027045	0.924404272802	0.927068723703	0.905970149254	0.838888888889	0.82243633861	0.884669479606	0.86305278174	0.98003327787	0.706098457017	0.737082066869	0.707244212099	0.932710280374	0.922256097561	0.928257686676	0.961133603239	0.979723502304	0.987152034261	0.993408042189	0.928462709285	0.954948805461	0.873190902826	0.875808538163	0.947242206235	0.949870354365	0.945548197204	0.955657492355	0.935338345865	0.912975912976	0.767779390421	0.790560471976	0.780525502318	0.929589270746	0.929233361415	0.921981424149	0.880821917808	0.883223684211	0.953420669578	0.867781155015	0.926576217079	0.973581973582	0.91403081914	0.861626248217	0.948760330579	0.844615384615	0.912264995524	0.913978494624	0.953528399312	0.940433212996	0.988888888889	0.876923076923	0.964006259781	0.910775566232	0.822090437361
BB1.141690	0.997122302158	0.997340425532	0.99710982659	0.0	1.0	0.997264021888	1.0	0.996932515337	1.0	0.996918335901	0.995991983968	0.996655518395	1.0	1.0	1.0	0.997350993377	0.996996996997	0.997677119628	0.997222222222	0.997734994337	0.997399219766	0.997010463378	0.996918335901	1.0	0.997122302158	0.997395833333	0.996779388084	0.997685185185	0.997837837838	0.997474747475	1.0	0.997364953887	0.996932515337	1.0	0.996533795494	0.997465145754	0.996204933586	0.997282608696	0.996923076923	0.997333333333	0.997378768021	0.997267759563	0.997191011236	1.0	0.997019374069	0.996805111821	0.996918335901	0.994736842105	1.0	0.997041420118	1.0	1.0	1.0	1.0	0.996794871795	0.997419354839	0.997371879106	0.997663551402	0.996434937611	1.0	1.0	1.0	1.0	0.996649916248	1.0	0.996996996997	1.0	0.996023856859	1.0	0.997837837838	0.997402597403	0.996197718631	0.997076023392	0.996805111821	1.0	0.996649916248	0.996316758748	0.997191011236	1.0	0.996721311475	0.995316159251	0.996732026144	1.0	1.0	1.0	0.997037037037	0.996598639456	0.99739243807	1.0
BB2.141659	0.939524838013	0.928077455048	0.946608946609	1.0	0.0	0.654736842105	0.749098774333	0.964338781575	0.733516483516	0.968726731199	0.974853310981	0.856037151703	0.504076086957	0.727569331158	0.751745539178	0.754313319531	0.904411764706	0.773633440514	0.922206506365	0.982244768548	0.898838004101	0.870873074101	0.931496649293	0.974982626824	0.804175665947	0.88098495212	0.715589353612	0.955070603338	0.977764051884	0.897711978466	0.98747763864	0.712319339298	0.748885586924	0.983572895277	0.907159716758	0.932569116655	0.755937755938	0.654545454545	0.675595238095	0.857340720222	0.86135895676	0.900420757363	0.853485064011	0.998341625207	0.938461538462	0.978787878788	0.956813104989	0.87895716946	0.869300911854	0.820437956204	0.996771589992	0.992653810836	1.0	0.997370151216	0.678300455235	0.613342409803	0.93676975945	0.89935483871	0.711553784861	0.720930232558	0.734409391049	0.737804878049	0.844077961019	0.820294345469	0.89001447178	0.982352941176	0.97842835131	0.959899749373	0.983207388749	0.981470043237	0.976775956284	0.995081967213	0.788098693759	0.856060606061	0.74860779634	0.899302865995	0.927243330639	0.930298719772	0.645799011532	0.958588957055	0.991079393399	0.969372128637	0.993138936535	1.0	0.826869806094	0.896274653031	0.737909516381	0.868583162218	0.890613451589
BF1.141647	0.936797752809	0.92302498312	0.945109078114	0.997264021888	0.654736842105	0.0	0.486638537271	0.965242577842	0.758551307847	0.972423802612	0.972312703583	0.820648078372	0.528865295289	0.544805709754	0.638972809668	0.67115902965	0.862365591398	0.676729559748	0.882677708765	0.977667493797	0.895861148198	0.836909871245	0.927431059507	0.972862957938	0.724719101124	0.87708750835	0.583703703704	0.948524795982	0.975816203144	0.906640368179	0.993061578491	0.424731182796	0.496017378711	0.97224975223	0.903522205207	0.914361001318	0.633757961783	0.751535836177	0.675126903553	0.79445571332	0.832439678284	0.88501026694	0.822345593338	1.0	0.915714285714	0.970479704797	0.940493468795	0.832281334536	0.735011102887	0.709608540925	0.995290423862	0.987544483986	1.0	0.993573264781	0.615668883962	0.598404255319	0.934228187919	0.86119873817	0.57984496124	0.607023411371	0.542203147353	0.553080920564	0.647918188459	0.702865761689	0.846153846154	0.974193548387	0.9759939985	0.956168831169	0.980424143556	0.981862152358	0.979986657772	0.99203187251	0.78627034678	0.905535055351	0.766253869969	0.864253393665	0.922955974843	0.907009021513	0.698959167334	0.956684092606	0.987889273356	0.967188665175	0.991673605329	0.996512641674	0.867478025693	0.92735042735	0.620349278664	0.848930481283	0.881844380403
BF2.141708	0.945165945166	0.94455994456	0.956616052061	1.0	0.749098774333	0.486638537271	0.0	0.967237527923	0.766001376462	0.980597014925	0.98487394958	0.875872769589	0.635125936011	0.599345870809	0.629860031104	0.716459197787	0.880619012528	0.654639175258	0.873848334515	0.988564167726	0.919178082192	0.845588235294	0.934328358209	0.970752089136	0.746031746032	0.928718300206	0.661585365854	0.970418006431	0.981435643564	0.946055293324	0.991031390135	0.510344827586	0.471332836932	0.979402677652	0.929022082019	0.941891891892	0.717569786535	0.812193412754	0.783743475019	0.847328244275	0.863823933975	0.91988756149	0.847469707769	0.998337489609	0.939794419971	0.978739559605	0.95671641791	0.845004668534	0.782178217822	0.751280175567	0.993527508091	0.988950276243	0.995721925134	0.994729907773	0.692775665399	0.671214188267	0.965564738292	0.872010342599	0.595846645367	0.708117443869	0.667647058824	0.634835752483	0.714500375657	0.782608695652	0.879622915156	0.98084008843	0.979922779923	0.963149078727	0.979797979798	0.987623762376	0.984941820671	0.995069843878	0.761454545455	0.927107061503	0.778309409888	0.888198757764	0.91734197731	0.950106913756	0.788604459125	0.978478093774	0.994633273703	0.973906369916	0.994840928633	0.996393146979	0.876474670368	0.959004392387	0.605942142299	0.843621399177	0.924444444444
BP1.141702	0.878066914498	0.837375178317	0.827123695976	0.996932515337	0.964338781575	0.965242577842	0.967237527923	0.0	0.923512747875	0.675134719015	0.721496953873	0.820512820513	0.959383753501	0.976311336717	0.980722891566	0.871886120996	0.846504559271	0.872931833223	0.899270072993	0.74168297456	0.806906272023	0.827141774071	0.729022324865	0.727598566308	0.931598513011	0.811001410437	0.954366640441	0.799207397622	0.668571428571	0.632454923717	0.869646182495	0.963094393187	0.970814132104	0.933333333333	0.859820700896	0.876302988186	0.967714528462	0.950937950938	0.912307692308	0.92	0.892427459306	0.894356005789	0.879588839941	0.943201376936	0.75927327782	0.736677115987	0.818321785989	0.957281553398	0.974842767296	0.969834087481	0.921338912134	0.936842105263	0.977628635347	0.982396750169	0.956043956044	0.959298245614	0.822820694543	0.837981407703	0.968620974401	0.971351835273	0.972706595906	0.966876971609	0.978294573643	0.96471531676	0.937219730942	0.823708206687	0.778309409888	0.830008673027	0.84481255449	0.83873015873	0.716901408451	0.812925170068	0.950524737631	0.843260188088	0.930750206101	0.955092221331	0.899413243923	0.778267254038	0.960683760684	0.715873015873	0.812441968431	0.844690966719	0.923351158645	0.880149812734	0.971428571429	0.791698113208	0.959612277868	0.887085391673	0.757066462949
BZ1.141724	0.957388316151	0.940476190476	0.954545454545	1.0	0.733516483516	0.758551307847	0.766001376462	0.923512747875	0.0	0.94464158978	0.949166004766	0.845360824742	0.75422626788	0.846749226006	0.847970479705	0.751815181518	0.900420757363	0.74953732264	0.922972972973	0.954960438223	0.765860039241	0.668299510147	0.923349893542	0.960132890365	0.707216494845	0.878272251309	0.717595944967	0.92118226601	0.945400593472	0.838917525773	0.97972972973	0.724818959842	0.762039660057	0.986538461538	0.926701570681	0.901872175597	0.839937839938	0.620320855615	0.675177304965	0.798675496689	0.788575180565	0.849865951743	0.724184782609	0.987421383648	0.920335429769	0.97113997114	0.94464158978	0.921052631579	0.947901591896	0.892757660167	0.984674329502	0.991341991342	0.998007968127	0.996219281664	0.604046242775	0.575244299674	0.906640368179	0.735148514851	0.785011355034	0.846780766096	0.836249125262	0.808417997097	0.921428571429	0.905674281503	0.941988950276	0.973352033661	0.970674486804	0.927157561362	0.971360381862	0.960830860534	0.966013071895	0.98600311042	0.601108033241	0.787878787879	0.600907029478	0.820191599116	0.887950882579	0.868206521739	0.725	0.931386861314	0.978096040438	0.951895043732	0.988636363636	0.981324278438	0.776158940397	0.884320557491	0.614243323442	0.6961362148	0.84214235377
CA1.141704	0.903129657228	0.882773409578	0.870052277819	0.996918335901	0.968726731199	0.972423802612	0.980597014925	0.675134719015	0.94464158978	0.0	0.623036649215	0.826506024096	0.981754385965	0.986429177269	0.993558776167	0.887303851641	0.896420411272	0.897877984085	0.896122896854	0.796078431373	0.819209039548	0.810030395137	0.722222222222	0.754310344828	0.935916542474	0.844522968198	0.960567823344	0.716743878226	0.695928753181	0.72063933287	0.818860877684	0.975817923186	0.983063895304	0.913700107875	0.90522875817	0.902506963788	0.964224872232	0.959508315257	0.916730917502	0.9255547602	0.889361702128	0.876722262509	0.86902133922	0.88438308887	0.760242792109	0.773762765122	0.837962962963	0.976630963973	0.988967691095	0.980347694633	0.864093959732	0.89443378119	0.961840628507	0.964721845319	0.960660896932	0.966244725738	0.8125	0.838988689288	0.971854304636	0.976660682226	0.984802431611	0.97628458498	0.990675990676	0.980707395498	0.94456928839	0.815689261234	0.796962430056	0.728695652174	0.762237762238	0.800254452926	0.673959068454	0.774936061381	0.95041322314	0.839748625295	0.922314049587	0.942122186495	0.868907563025	0.751287711553	0.964010282776	0.659506762132	0.720670391061	0.769658459095	0.839142091153	0.823474178404	0.965640658554	0.815431164902	0.962753036437	0.87270155587	0.724349157734
