	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.490846651154	0.478923316481	0.879276229145	0.777702627547	0.794808780595	0.833784475299	0.731328087093	0.736003311109	0.697553467744	0.686034076688	0.655433636612	0.796437803776	0.795531172144	0.82258290032	0.644810321666	0.693052232441	0.731986868607	0.67579305688	0.587877494913	0.740246044899	0.670091035658	0.664187847302	0.698583023337	0.704144375299	0.652391117398	0.72217436517	0.704808448027	0.733085683755	0.641728436787	0.745622521784	0.776488094699	0.834376194006	0.698738539673	0.703352462172	0.611246190983	0.791597005417	0.699619731072	0.704298604805	0.665760333554	0.649765635853	0.718353226736	0.628765789626	0.75618472297	0.5892481411	0.591020625294	0.552724387365	0.806969279124	0.737203095267	0.757783898625	0.748120683736	0.759677416531	0.764374707061	0.769260152575	0.741145269502	0.714183407229	0.684635601611	0.699820375296	0.798089157776	0.785649197752	0.807080820536	0.817522632017	0.823090936975	0.775604229542	0.636345368561	0.638182868004	0.645482781475	0.71485721311	0.755293728485	0.752283351415	0.717349116697	0.688525236773	0.737142491386	0.711576534886	0.672143870649	0.749025261038	0.718750154451	0.679442703487	0.758101257305	0.664172354823	0.699578111511	0.737334673232	0.73677980959	0.780968610144	0.780558788321	0.643687508141	0.749079784376	0.6534157327	0.670263200915
AR2.141703	0.490846651154	0.0	0.508629963317	0.884259097675	0.770360968649	0.792679942558	0.837629075184	0.709171108947	0.716900788133	0.749465455011	0.701839451856	0.662591780164	0.794475137151	0.807767080668	0.82440631134	0.61744433776	0.680360751307	0.696059415128	0.652173762202	0.628877874445	0.71436754435	0.65526620375	0.666416524788	0.704410999241	0.691719366942	0.65376966867	0.72783815727	0.720958886912	0.748060922801	0.676561837125	0.773326376161	0.778174321045	0.834903093325	0.733682219283	0.689708723094	0.611968452763	0.783871564448	0.688416083709	0.681528094708	0.670210994997	0.646788607284	0.688629353426	0.604956210876	0.775075920767	0.645293403086	0.669271378517	0.649369793652	0.770275080882	0.766328752154	0.756420969758	0.772783926165	0.755874176505	0.783871397996	0.782761681133	0.729749260484	0.717559082006	0.690546083697	0.680668027484	0.788566765863	0.789906426068	0.792212484842	0.798684516007	0.804291909066	0.752543202574	0.596454548777	0.63152453304	0.673434987363	0.729285254458	0.750488269507	0.728858851309	0.728039599876	0.720913032445	0.713164909783	0.708787688694	0.636241781059	0.722372653504	0.710471631149	0.665058975123	0.759706154955	0.688533391173	0.709268462162	0.723962118679	0.735539485562	0.778240803875	0.794954838389	0.651157271595	0.741463727827	0.647515412557	0.662733167848
AR3.141705	0.478923316481	0.508629963317	0.0	0.892369160468	0.801644303999	0.806799080649	0.850946972524	0.731672309176	0.757427469539	0.705136115486	0.67278768207	0.6850324461	0.816773328018	0.809089638396	0.836429231114	0.66688868912	0.662357708272	0.710334631162	0.661768895598	0.584711043748	0.77349653109	0.69351922689	0.65808959604	0.651477809418	0.709082221708	0.654707738171	0.774390891568	0.720005869734	0.726883863769	0.670430371568	0.759648708825	0.808018377637	0.848649219403	0.734598067522	0.668679486766	0.629120731379	0.815614506927	0.721031136956	0.716937499094	0.701678902882	0.679759774696	0.738954888135	0.662762257894	0.792214688575	0.584887451325	0.616363531524	0.599511147579	0.807260488584	0.785398135606	0.79230737852	0.77750854081	0.779671849957	0.773338875467	0.808955251169	0.74685682643	0.746353029904	0.671488335308	0.728796587901	0.807174565728	0.802938679077	0.809003482108	0.816026640179	0.814822395161	0.786105092287	0.627025250919	0.62419572776	0.633039031249	0.740388241502	0.742511945486	0.734665897521	0.727436672495	0.697917963815	0.769986630085	0.731590454283	0.713032689082	0.793189489507	0.743892461712	0.688636726203	0.777210653344	0.687084527008	0.713065886126	0.745714656092	0.751306764119	0.776435284969	0.820937911201	0.679536736449	0.77417976422	0.706149428846	0.664617850705
BB1.141690	0.879276229145	0.884259097675	0.892369160468	0.0	0.743583079426	0.733394778303	0.709490349361	0.891542584282	0.833203768305	0.890552271825	0.880342705775	0.897277253657	0.724634105618	0.712363737851	0.662596889895	0.839701038007	0.893236250768	0.908695947927	0.886151671386	0.900776115436	0.850345903602	0.843181834309	0.863214837713	0.889713089147	0.839942705368	0.906906327536	0.796985454847	0.898829099073	0.899502544324	0.889379667067	0.851378442572	0.740093950843	0.675443079616	0.762048986343	0.837935985756	0.899991573495	0.743373164903	0.828439500928	0.86662163505	0.908377276063	0.905614461583	0.892006494035	0.845132445556	0.782687929967	0.877079045144	0.843901924739	0.891999767186	0.838071887907	0.790220968125	0.767879177269	0.806686668726	0.7888495622	0.747618040925	0.757426921891	0.794949623541	0.768708764527	0.866135001229	0.879970844879	0.727656131113	0.741287912348	0.739754615807	0.69127738042	0.776506180346	0.78061536358	0.886258497103	0.891356004718	0.889320443548	0.878334894401	0.895689785194	0.909467713612	0.887174504314	0.869033677517	0.76829508884	0.856393154573	0.862129802461	0.778691512416	0.871977390609	0.895023267333	0.8100540797	0.884097644617	0.873584449599	0.87083015418	0.847774239653	0.862131931624	0.7927461723	0.872931067594	0.79440549552	0.866700006739	0.88906569538
BB2.141659	0.777702627547	0.770360968649	0.801644303999	0.743583079426	0.0	0.52716942004	0.555209470616	0.814276588553	0.569066182374	0.842072302468	0.796124263135	0.782118032698	0.518273067566	0.512291864879	0.469776467001	0.684163542847	0.724637042469	0.754784772264	0.738765815071	0.846733858376	0.7411472265	0.664477506199	0.741699255037	0.8198613918	0.675734616099	0.835959916913	0.573444030321	0.810225399503	0.841212214514	0.789315475344	0.825971555894	0.526462667615	0.535152914749	0.766726149583	0.753662272465	0.829010689654	0.462700523868	0.555197149548	0.645155252686	0.788010997503	0.761144250965	0.830080146677	0.708870692292	0.800009624112	0.829710255191	0.827987064442	0.836818210108	0.653442135989	0.593344153368	0.537459661277	0.801041774976	0.776749403258	0.829792175764	0.815947921961	0.592593764518	0.509949621544	0.824432444632	0.791230959058	0.442199582578	0.40139653147	0.478632415586	0.470303150866	0.586386803553	0.584188568148	0.736147839743	0.830565377506	0.821684410666	0.831484658557	0.816319159388	0.867994533638	0.82521087353	0.82617337004	0.609727348675	0.697253493049	0.603387875713	0.696173970606	0.757100480785	0.789344229937	0.426205990065	0.828327188516	0.826675771345	0.827101262515	0.802305473641	0.831489280153	0.590849749987	0.714139583154	0.545024340541	0.731417815964	0.764002436377
BF1.141647	0.794808780595	0.792679942558	0.806799080649	0.733394778303	0.52716942004	0.0	0.423111341703	0.840086914708	0.606386973952	0.861612128492	0.830765060673	0.761228649116	0.416577531757	0.47668916513	0.406382472123	0.611745629579	0.736986623086	0.740629957985	0.75561514679	0.850497461577	0.777016168112	0.667000737907	0.775177657633	0.835703365049	0.633341043915	0.844428942752	0.533440644107	0.837910686801	0.845415252713	0.816968584012	0.825709834983	0.480595755608	0.441092703194	0.738059639817	0.747511434724	0.822445181921	0.513516155498	0.622789550293	0.644144255847	0.768026559417	0.781430806532	0.804125887104	0.727679801829	0.751680324095	0.81857702452	0.799332187642	0.808409841132	0.709012600131	0.630765997847	0.57659931569	0.770932668147	0.724311437659	0.763425260599	0.775579263579	0.496280839957	0.402830879509	0.815027629528	0.768469660045	0.533546915629	0.521107804088	0.445830586146	0.382805803426	0.579057802492	0.577457644951	0.742790012618	0.838730448572	0.835407054033	0.833475054714	0.847510652777	0.862536531875	0.836438425046	0.8189772396	0.552070764755	0.778544849349	0.659431315808	0.669684032492	0.794550945268	0.803644808281	0.629538114565	0.816572875777	0.822857170065	0.841151953137	0.794253553133	0.818441644413	0.643421099947	0.771684715464	0.496237486727	0.733236063533	0.817880752943
BF2.141708	0.833784475299	0.837629075184	0.850946972524	0.709490349361	0.555209470616	0.423111341703	0.0	0.879351649907	0.65812560291	0.898427022436	0.875121972096	0.842595896135	0.469264370098	0.463152729693	0.333182073769	0.677767899631	0.779865211061	0.774650690688	0.75667928309	0.890589274482	0.828084908354	0.732183887699	0.830453971271	0.873882476192	0.686419951965	0.878238974856	0.623893687116	0.871040510898	0.88227442166	0.854056476252	0.868093947453	0.438184834114	0.234801067865	0.803384214284	0.807220237082	0.860591285369	0.553508897051	0.688757962813	0.702709125982	0.821494653547	0.834625559444	0.843581427903	0.787957189247	0.811463547688	0.864875311918	0.85105556146	0.85118638518	0.709409510694	0.628583381666	0.562083846468	0.82605004981	0.793410241139	0.826041949266	0.839454002209	0.575919182681	0.517933345459	0.865152587173	0.808744930151	0.491575227965	0.542048984627	0.485141095996	0.401874003365	0.465903660518	0.510916722575	0.791512444746	0.875182919726	0.877592489148	0.871813783619	0.878890112692	0.893263835998	0.87434266585	0.857300508008	0.63441298058	0.816880899362	0.677254127291	0.727932802239	0.839096800861	0.840023007538	0.635195558775	0.8813299037	0.867185834873	0.886744800633	0.836516285723	0.861402271837	0.681567403063	0.81273214479	0.565074614589	0.776664814891	0.855153191668
BP1.141702	0.731328087093	0.709171108947	0.731672309176	0.891542584282	0.814276588553	0.840086914708	0.879351649907	0.0	0.758639775859	0.590945607911	0.558801687065	0.712847455698	0.870393474937	0.861450147829	0.872428472326	0.745626953187	0.745745983893	0.747251487945	0.714170074234	0.631263271183	0.684251824004	0.722585136043	0.679827161669	0.609481554401	0.779625804841	0.692401718681	0.769802547665	0.685021719112	0.612426457979	0.602054902307	0.726054804424	0.861802976953	0.878593998685	0.755233474791	0.688863187009	0.663630470118	0.832962618188	0.755970979068	0.741278551975	0.726821907344	0.700367856576	0.734365961902	0.737144047258	0.794388566936	0.659293451098	0.644085596833	0.714645027271	0.846431070944	0.837868584403	0.857673582236	0.784839826991	0.785473745852	0.783897683268	0.805990715472	0.8083466335	0.820999693638	0.689047821011	0.679971795222	0.84998870342	0.839805263984	0.87843668204	0.867716130835	0.85694486488	0.850151528975	0.741983238207	0.676419696964	0.647609640431	0.641031824599	0.610365952908	0.699970841525	0.594071781901	0.726121654556	0.791129276513	0.716273453613	0.754455489262	0.791284147315	0.721071628285	0.725591018142	0.769021635759	0.700375321387	0.688175819765	0.666386791998	0.744457758246	0.676552924376	0.791506174004	0.676953378238	0.784815236167	0.656927530851	0.693925703598
BZ1.141724	0.736003311109	0.716900788133	0.757427469539	0.833203768305	0.569066182374	0.606386973952	0.65812560291	0.758639775859	0.0	0.764092714341	0.71509543645	0.700414607062	0.674763852919	0.647020987051	0.66836132208	0.577809646483	0.607246842191	0.658750273368	0.685008769068	0.779755275221	0.592745670129	0.498822829506	0.652623821103	0.736773251832	0.542154786908	0.745572099861	0.560890082232	0.738016524812	0.737523333203	0.713540621405	0.741404697627	0.636436305317	0.674677572649	0.718985150555	0.700650359511	0.74696786069	0.636768031421	0.48551638305	0.547094921336	0.678089705003	0.672600001574	0.688070322375	0.55192444698	0.729168425021	0.726114701118	0.763289592718	0.752697853812	0.75064070117	0.697733665642	0.658434381263	0.758562849235	0.727059043602	0.761468338913	0.794922973878	0.560459574853	0.526587753598	0.729152551835	0.618954507398	0.59385005668	0.66705772322	0.622500306391	0.638431186488	0.702171257392	0.650870278417	0.685610933792	0.74783028072	0.754199660249	0.734059050834	0.753473692429	0.768986137695	0.74694086503	0.771684221455	0.512396179644	0.623657085555	0.527000144329	0.617064881492	0.661180778016	0.693304983156	0.581154391113	0.769367401874	0.747228843661	0.774238064361	0.729219727446	0.770863351706	0.570820414863	0.668559226009	0.485399781317	0.515085276179	0.68646141311
CA1.141704	0.697553467744	0.749465455011	0.705136115486	0.890552271825	0.842072302468	0.861612128492	0.898427022436	0.590945607911	0.764092714341	0.0	0.554501470101	0.720273487166	0.887189657294	0.8595646819	0.885784059077	0.743931704687	0.736634394901	0.739627414353	0.674535287754	0.643717375967	0.707368855536	0.746181090282	0.594200294738	0.621918399713	0.760400081183	0.691961844332	0.814802550189	0.618847423047	0.588138662188	0.611000674368	0.658153901527	0.86913609399	0.895463908871	0.730904136541	0.720004042733	0.702033376247	0.838339745662	0.772719532103	0.741243886577	0.738134402627	0.71021769038	0.712931753423	0.73567693352	0.715835466154	0.64417200552	0.619667218481	0.661288618977	0.862624928844	0.865821296045	0.847126260576	0.718071145569	0.738174934748	0.755104062224	0.792094629111	0.821147558841	0.829653075311	0.681592575772	0.726664562417	0.850628265084	0.856820662001	0.876180759625	0.882553054927	0.876239475794	0.848604024381	0.737450817273	0.655225603392	0.63326089638	0.614389992969	0.626689979843	0.59893385282	0.561471244097	0.639897195454	0.797637874547	0.739200826054	0.794918751136	0.777405792089	0.712955853351	0.617559002714	0.817887460168	0.605763481338	0.612819551713	0.543206521531	0.69154431393	0.61947220666	0.80631898172	0.743672522457	0.801501866614	0.681868803229	0.651710759646
