	AR1.141727	AR2.141703	AR3.141705	BB1.141690	BB2.141659	BF1.141647	BF2.141708	BP1.141702	BZ1.141724	CA1.141704	CA2.141685	CC1.141721	CF1.141675	CF2.141679	CF3.141691	CL1.141697	CL2.141671	CL3.141664	CL4.141667	CM1.141723	CO1.141714	CO2.141657	CO3.141651	CR1.141682	DF1.141684	DF2.141726	DF3.141696	GB1.141665	GB2.141732	GB3.141652	GB5.141668	HF1.141663	HF2.141686	HI1.141693	HI2.141672	HI3.141676	HI4.141735	HJ1.141718	HJ2.141717	IE1.141648	IE2.141655	IT1.141711	IT2.141720	JT1.141699	KP1.141713	KP3.141658	KP4.141733	LQ1.141701	LQ2.141729	LQ3.141712	MD2.141689	MD3.141707	MD4.141660	MD5.141688	MP1.141661	MP2.141695	MT1.141719	MT2.141698	PE1.141715	PE2.141725	PE3.141731	PE4.141683	PE5.141692	PE6.141700	PE7.141734	RT1.141654	RT2.141710	SA1.141670	SA2.141687	SB1.141730	SF1.141728	SF2.141677	SK1.141669	SK2.141662	SK3.141716	SN1.141681	SN3.141650	SP1.141656	SP2.141678	SR1.141680	SR2.141673	SR3.141674	SV1.141649	SV2.141666	TL1.141653	TL2.141706	TL3.141709	VC1.141722	VC2.141694
AR1.141727	0.0	0.267045718154	0.159115414607	0.823661123596	0.438841198502	0.443817929716	0.443940222378	0.379513938421	0.418295885793	0.32461405203	0.308936001248	0.398343880991	0.490599526327	0.516526019603	0.500584683989	0.418864674488	0.355354805778	0.396367623105	0.376486812097	0.273371409519	0.450325807699	0.34558840968	0.289278498361	0.270661710474	0.47684023542	0.416297833477	0.37859158289	0.394187790262	0.358392906966	0.271265723917	0.353544854707	0.474921409845	0.547408722649	0.380610342429	0.30397567282	0.344670814131	0.46102378141	0.410733867041	0.394766732761	0.42783628873	0.388974275234	0.47156467496	0.422754307785	0.46321689638	0.250563446901	0.266310138443	0.23440346586	0.453787183126	0.411989915238	0.433206086496	0.404797945425	0.417607409968	0.435917817014	0.452053835206	0.424862210839	0.414222492859	0.380590072442	0.442265343645	0.468928012306	0.440242772407	0.459259607843	0.472589335206	0.479429804752	0.435341496344	0.403468276466	0.260296517904	0.271176331519	0.358055617978	0.40084494382	0.345272804173	0.327137003045	0.316941622472	0.459780334403	0.316740922822	0.3745528425	0.397372166934	0.381256345477	0.328032803276	0.405036475996	0.289873080117	0.304408832959	0.421075280899	0.395619099495	0.349027445042	0.411138489888	0.32065890893	0.424190729351	0.361971199015	0.328359147847
AR2.141703	0.267045718154	0.0	0.254893608434	0.750750843373	0.407086551205	0.497312314791	0.49109560492	0.402856826788	0.382594740056	0.40254772821	0.368370373494	0.313088405459	0.55016232223	0.583179461676	0.556079292169	0.323992946492	0.305130746988	0.299294445702	0.278104354012	0.25353865217	0.365240823622	0.303317269694	0.345105510793	0.341246737306	0.371747848537	0.315128514056	0.386003229761	0.371387929108	0.37143645012	0.308974222605	0.352631109265	0.553810874928	0.610289315155	0.412200384395	0.312902586059	0.245885263427	0.402944532311	0.337658534137	0.307655235058	0.319494235122	0.293896836603	0.38432945568	0.326240509897	0.407452698795	0.338969694261	0.36869797117	0.336315049649	0.365792868315	0.426233925174	0.457116969766	0.36110871404	0.462205764597	0.473048571429	0.394702974565	0.352997126152	0.444168595058	0.317494275523	0.3238599468	0.392245780264	0.497257929392	0.430518795181	0.439990451807	0.402382447166	0.38552437751	0.305743500608	0.284958274969	0.288107871072	0.32477096927	0.327827435456	0.329435979346	0.393414960027	0.323035208032	0.366108545611	0.283604880506	0.318842720355	0.345028537005	0.341549667762	0.280855472738	0.464864256298	0.303834319015	0.344211386345	0.346438031677	0.337828243408	0.393808863279	0.446918650602	0.281205938491	0.414353238216	0.304027370853	0.367292601694
AR3.141705	0.159115414607	0.254893608434	0.0	0.8315963	0.421558566667	0.427327261702	0.432383925	0.358468131169	0.396881045205	0.335396087387	0.319983522222	0.389319961224	0.475545735294	0.493177661702	0.474318025	0.394628752941	0.317258071429	0.359765318792	0.351661589362	0.249566382927	0.457104204918	0.327927223077	0.2726442875	0.236163075	0.461996874603	0.401466588889	0.368193107018	0.418363297101	0.37700786	0.297109661905	0.361958527586	0.459265747619	0.527277857895	0.39418922381	0.29833147619	0.336644462712	0.440906645455	0.393700888889	0.363526370588	0.419066354545	0.378467908264	0.472076264286	0.408688778571	0.4837317	0.265107280645	0.252250492857	0.258730754945	0.434899496491	0.399731752632	0.414904530189	0.423533973469	0.43099415641	0.448368928571	0.476500766667	0.398946158824	0.396091876271	0.360407326316	0.435540167532	0.443965719048	0.41728505814	0.433442417647	0.449852666667	0.451253244262	0.415070760317	0.36157383945	0.255029425234	0.236928256701	0.381128841573	0.40665419011	0.348603414286	0.321138574766	0.326736166667	0.445864471429	0.313258640984	0.367768507018	0.402746771429	0.389516770707	0.328456249153	0.385663863636	0.307120456522	0.3169195	0.443829351685	0.409712097101	0.356207436232	0.4144179	0.323625089474	0.400307945614	0.367029631507	0.315197248515
BB1.141690	0.823661123596	0.750750843373	0.8315963	0.0	0.77460625	0.857269787234	0.836844791667	0.903204415584	0.813017123288	0.883526306306	0.869067666667	0.760160918367	0.913788039216	0.937419574468	0.90762875	0.696078970588	0.764874857143	0.760282751678	0.758742021277	0.816947804878	0.72745	0.798200153846	0.8503921875	0.872402946429	0.602845396825	0.656641025641	0.784648421053	0.818358115942	0.84870328	0.818338190476	0.801767241379	0.91993452381	0.949895789474	0.85447	0.740200833333	0.723584322034	0.757935454545	0.705798333333	0.752977254902	0.691719848485	0.757552479339	0.729530357143	0.693919821429	0.72927	0.858514301075	0.887135178571	0.858805824176	0.694810877193	0.804531929825	0.842111886792	0.768123673469	0.868711794872	0.8692	0.701762	0.776679411765	0.847444237288	0.785613026316	0.696074545455	0.721081190476	0.86060255814	0.794769019608	0.785987083333	0.748229672131	0.78135031746	0.685771834862	0.796444672897	0.819229587629	0.780737191011	0.771865714286	0.815075714286	0.893136635514	0.814387066667	0.686165952381	0.770903442623	0.77161	0.757930357143	0.786942626263	0.793269322034	0.864299090909	0.804300869565	0.827412	0.727259325843	0.761675507246	0.842133043478	0.8234212	0.792633684211	0.819451052632	0.761897260274	0.869809306931
BB2.141659	0.438841198502	0.407086551205	0.421558566667	0.77460625	0.0	0.198637712766	0.241452708333	0.544450135281	0.214060245434	0.535774009009	0.51194475	0.415887295918	0.250471911765	0.305560212766	0.267021666667	0.290426029412	0.317466821429	0.281406087808	0.354966347518	0.459891900407	0.487229801913	0.364552019231	0.462311979167	0.497497053571	0.407918948413	0.514794871795	0.19292870614	0.492793876812	0.514323063333	0.435452797619	0.499456163793	0.266738035714	0.326425504386	0.518957202381	0.405953928571	0.446875925141	0.168037909091	0.268040416667	0.229423357843	0.454371022727	0.400195048209	0.544741488095	0.42958547619	0.522281694444	0.514084475806	0.513285714286	0.497916158425	0.280523881579	0.173295899123	0.203904811321	0.480989821429	0.536918044872	0.578620416667	0.510747416667	0.204499191176	0.177405	0.475567149123	0.467757402597	0.164754761905	0.18253378876	0.149490367647	0.139439166667	0.181976448087	0.163205892857	0.37324492737	0.434083383956	0.436435455326	0.45915502809	0.48964371337	0.475083964286	0.523176756231	0.468316383333	0.317381011905	0.369361557377	0.264502697368	0.327501369048	0.406280378788	0.430339081921	0.216097628788	0.448168007246	0.469033133333	0.507146577715	0.477630235507	0.513852880435	0.293026883333	0.407865899123	0.202224627193	0.417349680365	0.493795812706
BF1.141647	0.443817929716	0.497312314791	0.427327261702	0.857269787234	0.198637712766	0.0	0.127764827128	0.528914860459	0.268716039056	0.532135353652	0.516887364066	0.492447158055	0.133500713392	0.188510212766	0.166474348404	0.34544405194	0.39030804458	0.346943719834	0.433824574468	0.521443725999	0.585511360307	0.436538261866	0.457070596188	0.490375704787	0.487663687943	0.60839563557	0.220768353863	0.574903654024	0.563444389787	0.494794081054	0.540174203962	0.146988941236	0.206339328108	0.537540638298	0.42845235309	0.522163864046	0.221376940039	0.371946205674	0.321149428452	0.534775754352	0.488564060137	0.617508586626	0.518502921733	0.599269763593	0.498128302448	0.482388316869	0.477941620295	0.390111974617	0.206806532288	0.160724363709	0.553660217108	0.519798483361	0.568351975684	0.590668401891	0.271803372966	0.136505694194	0.552396262598	0.542456849959	0.252030126646	0.114800094013	0.164329470171	0.137935301418	0.236381133589	0.232053107058	0.467376570369	0.487488657785	0.478004924326	0.540987614153	0.58193822773	0.538497115502	0.500264995029	0.509947004255	0.387364848024	0.481190899895	0.351749581934	0.401840471125	0.502973651408	0.520381914894	0.219171702128	0.501778186864	0.494111546099	0.599488395888	0.562780675301	0.505017323466	0.346207251064	0.516468465845	0.190569492348	0.496243765666	0.49733076048
BF2.141708	0.443940222378	0.49109560492	0.432383925	0.836844791667	0.241452708333	0.127764827128	0.0	0.532953709416	0.27884057363	0.526339588964	0.515394180556	0.504258005952	0.204207267157	0.236105172872	0.198935208333	0.354566115196	0.386923470238	0.343207202181	0.409726449468	0.515486356707	0.578814866803	0.426008695513	0.464019270833	0.495499285714	0.482555168651	0.600893338675	0.229604747807	0.568216349638	0.557410585	0.490263720238	0.533068987069	0.197819375	0.211457620614	0.531284375	0.427600446429	0.517635370763	0.230481799242	0.363430763889	0.338036654412	0.535217746212	0.48915235365	0.614190446429	0.515244553571	0.593542152778	0.505385409946	0.487595089286	0.478611119505	0.366648870614	0.206361436404	0.178686772799	0.547932606293	0.529611298077	0.569918482143	0.585383069444	0.283674742647	0.17381772952	0.549481809211	0.53745032197	0.238145505952	0.178313609496	0.198268713235	0.181156875	0.225256116803	0.232090585317	0.464462708333	0.480410391355	0.473170573454	0.532764875936	0.572556421703	0.531142196429	0.504157758956	0.502349625	0.383842827381	0.470354368169	0.339142379386	0.397093244048	0.49626417298	0.516556260593	0.245388996212	0.507352038043	0.488372691667	0.594554314139	0.554765389493	0.510231639493	0.345599908333	0.508397686404	0.20254191886	0.489198199201	0.503890872525
BP1.141702	0.379513938421	0.402856826788	0.358468131169	0.903204415584	0.544450135281	0.528914860459	0.532953709416	0.0	0.447385228607	0.246556997777	0.239549660895	0.424162012987	0.556851680672	0.578180315004	0.558743928571	0.521741587089	0.4336795671	0.468125621023	0.417921178502	0.301531878366	0.447054407068	0.395842711289	0.260874078734	0.247440917208	0.574873535354	0.494515597736	0.47442632946	0.385161097308	0.292081659221	0.299381774892	0.365116323332	0.552396774892	0.598021155161	0.370707229437	0.417739707792	0.397606908431	0.551287350649	0.52057248557	0.47249569646	0.50290504329	0.431509669421	0.478896444805	0.474627483766	0.525815974026	0.270739076945	0.264269107143	0.34675013986	0.556557552973	0.529299917977	0.535735121294	0.462275992579	0.404263969364	0.450886233766	0.528558080808	0.486699633308	0.510485232225	0.361875046138	0.454145714286	0.570957251082	0.529518184838	0.567228143621	0.56465133658	0.568972052374	0.550775137085	0.528569039676	0.379935375652	0.324981535681	0.392245295491	0.384980679321	0.373185311688	0.212652644738	0.396666890043	0.542948939394	0.395034969129	0.470080713147	0.495161558442	0.419166349206	0.346876880916	0.472627142857	0.366271801242	0.365107605195	0.459044199621	0.446396331639	0.367071485037	0.5098036	0.353058961039	0.481587502848	0.389185418965	0.245040306031
BZ1.141724	0.418295885793	0.382594740056	0.396881045205	0.813017123288	0.214060245434	0.268716039056	0.27884057363	0.447385228607	0.0	0.430662002962	0.412276494673	0.343211382443	0.345539398335	0.395566537453	0.35175635274	0.301674772361	0.264684481409	0.241428364439	0.29397411979	0.38228260274	0.398648587469	0.263139650158	0.36540987871	0.401858675391	0.364411543814	0.456168173516	0.192046741168	0.41133797697	0.406954242192	0.35770870972	0.422072026453	0.329459631442	0.400494477289	0.433810254403	0.397918201239	0.399138505921	0.256178366127	0.277348523592	0.201281880204	0.39504	0.331687442545	0.453769363992	0.336988803816	0.462112280061	0.406986428045	0.442278642368	0.402270865573	0.332132710887	0.247808269647	0.271352918067	0.435124050881	0.457377495609	0.503434096543	0.492392596651	0.150302308622	0.196970313443	0.391994078947	0.373717970112	0.254405547945	0.291918712966	0.22907104217	0.235656866438	0.262402986751	0.240074864101	0.377365574965	0.374949902701	0.379751362802	0.380697641989	0.42350032967	0.375297037182	0.421410458328	0.421296807306	0.273461666667	0.346916496744	0.219644844989	0.268353180039	0.331877095614	0.35180561876	0.273337374844	0.381879047052	0.422008571689	0.449232712021	0.415156414532	0.444674161207	0.2905336	0.360041160779	0.180193785148	0.300536575342	0.401540042045
CA1.141704	0.32461405203	0.40254772821	0.335396087387	0.883526306306	0.535774009009	0.532135353652	0.526339588964	0.246556997777	0.430662002962	0.0	0.159302885886	0.392443742416	0.591886459989	0.600830316274	0.588613322072	0.501924399841	0.399272622909	0.446212816373	0.382290731263	0.28266553285	0.400414262295	0.356918421344	0.241386309122	0.23315672056	0.522415581296	0.435716608917	0.463987728781	0.267389322366	0.213600632072	0.252510900901	0.296227704256	0.565665669241	0.629195955429	0.278046138996	0.379336155084	0.387000319896	0.542689164619	0.493101426426	0.447424218336	0.458297379197	0.389477357606	0.416801747104	0.425148254505	0.429887945946	0.21580088637	0.282753936615	0.2550896733	0.533314518729	0.51770512091	0.525243666497	0.391218238647	0.330778059598	0.393312303732	0.476105123123	0.475850514043	0.481072861506	0.316581679706	0.42891003159	0.550652850708	0.535954869055	0.546872623211	0.559270608108	0.565504635947	0.527465178035	0.48307819076	0.31151613202	0.283877162627	0.315635804231	0.308849042669	0.273627864865	0.199835384356	0.322635326126	0.504416943372	0.373391911091	0.462711081081	0.428608870656	0.350299115479	0.242182863033	0.496156761671	0.269807608696	0.293330068468	0.35722520498	0.366106412064	0.313370497454	0.471430461261	0.355280308203	0.477879293504	0.371350758978	0.240901077513
