#OTU ID	GN01P.484257	GN06P.o.484262	GN02P.484248	GN04P.484258	GN05P.o.484260	GN07P.o.484246	GN04P.o.484251	GN07P.484259	GN02P.o.484250	GN06P.484247	GN09P.484254	GN01P.o.484256	GN03P.o.484249	GN08P.o.484263	GN03P.484253	GN05P.484261	GN09P.o.484264	GN08P.484265
199504	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253042	0	4.73557772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239769	6.204126486	7.495752552	8.673865223	8.968666793	8.767464812	7.856545239	9.160951872	8.931267866	7.355709613	7.75010878	7.651051691	4.076645958	8.904667342	7.438074843	6.808785458	8.149842964	6.808785458	5.537747862
167952	0	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
132520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.537747862
102348	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
520366	5.223562965	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
529216	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243711	0	0	0	0	5.475028474	7.013519522	0	7.856545239	4.600258688	4.632822139	8.909893084	4.076645958	0	6.706644868	5.249332964	5.275597458	8.38514339	8.968666793
250836	7.363139212	0	6.230242871	0	0	0	0	0	0	0	0	4.076645958	0	0	6.230242871	0	0	0
556010	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244538	0	0	0	0	6.458718649	0	6.588536184	0	0	0	5.357552005	0	0	0	0	4.312369266	0	0
160406	5.223562965	0	0	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
185633	5.223562965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
549500	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
355913	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248012	8.647458426	8.491750337	9.460872986	6.398031074	7.038203308	9.142368925	8.163469979	8.683894356	8.71288686	8.163469979	9.324180547	8.38514339	9.145212252	8.433909145	8.91432976	6.57500401	10.3819034	9.209231805
248927	0	8.853429525	0	5.415037499	9.145212252	9.267687043	6.588536184	9.540301934	0	8.038396463	0	0	0	7.118225095	0	7.944173348	0	7.514265748
534626	0	0	5.249332964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235321	0	5.708243841	0	6.398031074	6.458718649	0	6.588536184	0	0	0	0	0	0	0	5.249332964	6.256854005	0	0
5822	0	0	0	0	0	0	0	4.73557772	0	0	0	4.076645958	0	0	0	0	0	0
561077	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237372	0	5.708243841	0	6.398031074	5.475028474	7.013519522	0	6.694380212	0	6.90746298	5.357552005	0	5.475028474	0	0	6.256854005	5.821596845	7.514265748
91507	0	0	0	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
256695	0	0	0	5.415037499	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240981	0	4.73557772	0	0	0	0	5.603449728	7.274691739	0	7.168493046	5.357552005	0	0	6.128572155	0	5.275597458	0	6.522135663
258151	0	0	0	0	0	4.73557772	0	0	0	0	0	0	0	0	0	0	0	0
327863	0	0	0	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
241850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.522135663
105069	0	5.708243841	6.230242871	6.977279923	5.475028474	5.708243841	6.588536184	7.274691739	6.145013864	4.632822139	0	0	7.038203308	0	6.230242871	5.275597458	0	6.522135663
239915	0	0	0	0	0	4.73557772	0	5.708243841	0	0	8.13442632	0	0	7.438074843	0	0	8.122971754	5.537747862
512914	6.782551531	0	0	0	0	0	0	0	0	0	0	6.808785458	0	0	0	0	0	0
252301	5.223562965	7.495752552	5.249332964	8.38514339	8.767464812	8.007925728	5.603449728	9.075376295	0	7.901441587	8.495855027	0	5.475028474	7.921122744	6.230242871	8.149842964	9.257649746	9.209231805
252718	0	4.73557772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100167	0	0	0	5.415037499	5.475028474	0	0	0	0	0	0	0	0	6.128572155	0	0	0	5.537747862
1219	0	0	6.230242871	0	0	0	0	0	4.600258688	0	0	0	5.475028474	0	0	0	0	0
32029	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139171	0	4.73557772	6.230242871	6.398031074	5.475028474	0	0	0	4.600258688	4.632822139	0	0	7.450494067	0	6.230242871	5.275597458	0	5.537747862
159131	5.223562965	0	7.802336847	0	5.475028474	0	0	0	0	0	0	5.603449728	5.475028474	0	0	0	5.821596845	0
265411	9.940780737	0	10.11908522	10.28886607	0	0	11.00043602	0	9.54145685	0	0	9.872687094	11.22418522	6.128572155	10.99296455	0	0	0
159208	8.580515542	6.694380212	9.120381895	8.843397672	7.038203308	0	9.035650091	0	8.244723365	5.603449728	0	8.38514339	7.038203308	0	7.220602255	4.312369266	0	0
238582	0	0	0	0	5.475028474	4.73557772	0	0	0	0	5.357552005	0	0	0	0	0	0	0
306876	0	0	0	0	0	0	7.168493046	0	0	0	0	0	0	0	0	0	0	0
243926	4.26166757	6.283978741	5.249332964	0	7.038203308	9.589146947	6.588536184	9.811271762	0	7.389452089	10.57080444	0	0	8.91814356	6.808785458	6.57500401	11.70318262	9.900180692
153852	6.204126486	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
312169	5.223562965	0	0	0	0	4.73557772	6.588536184	0	0	0	0	4.076645958	0	0	5.249332964	4.312369266	0	0
575032	4.26166757	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
9822	5.223562965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544772	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159387	0	0	0	0	0	0	0	4.73557772	0	0	0	0	0	0	0	0	0	0
241975	0	5.708243841	5.249332964	8.554588852	5.475028474	4.73557772	6.588536184	0	4.600258688	4.632822139	0	0	5.475028474	0	6.230242871	0	0	0
223575	0	0	0	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
88158	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336455	0	0	5.249332964	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
78036	4.26166757	0	0	0	0	0	0	7.013519522	6.145013864	0	0	5.033248182	7.038203308	0	0	0	0	0
3248	0	6.283978741	0	0	5.475028474	4.73557772	5.603449728	4.73557772	0	0	0	0	0	7.118225095	5.249332964	5.275597458	5.821596845	6.522135663
239596	0	0	0	0	0	0	0	0	0	0	5.357552005	0	0	0	0	0	0	0
236202	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138923	4.26166757	8.144919648	9.460872986	9.083922484	8.446364126	7.495752552	9.482375818	7.274691739	9.242343273	7.581021198	0	0	10.02856675	0	9.534771202	7.05610087	0	6.522135663
87579	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
251213	0	6.283978741	0	0	5.475028474	6.694380212	0	5.708243841	0	7.389452089	5.357552005	4.076645958	5.475028474	0	0	5.275597458	6.808785458	5.537747862
256656	0	0	0	0	0	0	0	4.73557772	0	0	5.357552005	0	0	5.149046272	0	0	0	0
248616	0	9.267687043	0	7.971543554	8.254309764	7.495752552	5.603449728	8.771150829	0	9.896908992	10.45224124	0	0	8.282369502	0	7.704229923	10.55170826	9.595681317
589524	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139309	0	0	0	0	0	0	5.603449728	4.73557772	0	4.632822139	0	0	0	6.128572155	0	0	5.821596845	5.537747862
340460	5.223562965	0	0	0	0	0	0	0	0	0	0	5.603449728	0	0	0	0	0	0
238671	4.26166757	0	7.540594472	5.415037499	0	0	0	0	7.355709613	0	0	5.033248182	8.615829514	0	8.21575768	0	0	0
237272	0	0	0	0	5.475028474	6.283978741	0	4.73557772	4.600258688	4.632822139	6.339850003	4.076645958	5.475028474	0	0	0	0	0
254610	5.223562965	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
238545	0	0	0	0	0	7.274691739	5.603449728	7.274691739	0	4.632822139	7.651051691	0	0	8.113023603	0	5.84809142	6.808785458	8.679799952
307166	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138946	0	4.73557772	0	6.977279923	5.475028474	0	6.588536184	5.708243841	0	4.632822139	0	0	0	0	0	5.275597458	0	0
199683	4.26166757	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
252410	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74722	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
250645	6.204126486	8.683894356	6.808785458	9.19064778	9.351323362	8.683894356	6.588536184	8.683894356	4.600258688	7.581021198	7.651051691	4.076645958	0	8.113023603	7.220602255	8.633817753	7.802336847	9.093957686
159252	7.99743612	0	6.230242871	0	0	0	0	0	5.570208734	0	0	6.999821083	0	0	0	0	0	0
237816	4.26166757	0	5.249332964	5.415037499	0	0	7.168493046	0	4.600258688	0	0	0	0	0	7.220602255	0	0	0
570233	0	0	5.249332964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15343	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240333	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
159254	7.19430916	4.73557772	8.023805681	6.398031074	7.450494067	7.274691739	7.581021198	6.283978741	7.867637914	5.603449728	7.330916878	7.695918715	8.032704588	7.699722019	8.023805681	4.312369266	8.38514339	8.096595374
272208	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
578911	4.26166757	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
145698	4.26166757	0	0	5.415037499	0	4.73557772	0	0	0	4.632822139	6.339850003	4.076645958	6.458718649	0	0	0	0	0
237654	0	4.73557772	0	0	7.038203308	7.495752552	0	8.144919648	6.145013864	0	8.326429487	0	0	8.696248097	5.249332964	5.84809142	8.799101701	8.510314632
241933	0	9.489745058	0	8.968666793	9.613989597	9.636392239	8.577248975	9.967226259	0	10.09834546	8.909893084	0	5.475028474	10.06334859	5.249332964	8.884775296	8.799101701	10.03129393
250068	0	6.283978741	0	6.398031074	0	4.73557772	0	4.73557772	0	6.178487015	0	0	5.475028474	5.149046272	0	5.275597458	0	0
12395	4.26166757	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
572325	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
471141	5.223562965	0	5.249332964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165020	0	0	0	0	0	0	0	0	0	0	0	5.033248182	0	0	0	0	0	0
251576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.821596845	0
247875	0	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
138844	0	7.274691739	5.249332964	7.389452089	8.615829514	7.013519522	8.746754231	7.495752552	4.600258688	8.038396463	6.918863237	0	5.475028474	0	5.249332964	7.704229923	6.808785458	6.522135663
239617	0	0	5.249332964	0	0	0	0	0	4.600258688	0	0	0	0	0	0	0	0	0
154577	0	0	0	6.977279923	0	0	5.603449728	4.73557772	0	0	0	4.076645958	0	0	5.249332964	0	0	0
236702	4.26166757	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
159150	0	0	7.220602255	0	0	0	0	0	5.570208734	0	0	0	5.475028474	0	6.808785458	0	0	0
242567	0	4.73557772	0	5.415037499	0	4.73557772	0	0	0	0	5.357552005	0	5.475028474	6.706644868	0	4.312369266	6.808785458	5.537747862
249482	0	4.73557772	0	0	6.458718649	0	0	0	0	4.632822139	0	0	0	0	0	4.312369266	0	0
252777	0	8.007925728	0	8.38514339	7.770771604	7.013519522	8.38514339	7.687398116	0	4.632822139	0	4.076645958	8.032704588	6.128572155	7.220602255	6.57500401	0	7.101856327
159156	0	0	0	0	0	0	0	4.73557772	0	0	0	0	0	0	0	0	0	0
2604	4.26166757	0	0	0	0	0	0	0	0	0	0	4.076645958	0	0	0	0	0	0
528842	0	0	5.249332964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
535040	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217507	0	0	5.249332964	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142545	4.26166757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
