#OTU ID	GN01P.484257	GN06P.o.484262	GN02P.484248	GN04P.484258	GN05P.o.484260	GN07P.o.484246	GN04P.o.484251	GN07P.484259	GN02P.o.484250	GN06P.484247	GN09P.484254	GN01P.o.484256	GN03P.o.484249	GN08P.o.484263	GN03P.484253	GN05P.484261	GN09P.o.484264	GN08P.484265
199504	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
253042	0	0.169925001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
239769	1.099535674	0.906890596	1.678071905	1.222392421	1.415037499	0.925999419	1.270089163	1.447458977	1.054447784	1.087462841	0.637429921	0.415037499	1.502500341	0.502500341	0.807354922	1.652076697	0.289506617	0.152003093
167952	0	0	0	0	0	0	0	0	0	0	0	0.736965594	0	0	0	0	0	0
132520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152003093
102348	0	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
520366	0.652076697	0	0	0	0	0	0	0	0	0	0	0.736965594	0	0	0	0	0	0
529216	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243711	0	0	0	0	0.222392421	0.584962501	0	0.862496476	0.206450877	0.169925001	1.222392421	0.415037499	0	0.321928095	0.321928095	0.362570079	0.736965594	1.152003093
250836	1.836501268	0	0.485426827	0	0	0	0	0	0	0	0	0.415037499	0	0	0.584962501	0	0	0
556010	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
244538	0	0	0	0	0.415037499	0	0.304854582	0	0	0	0.152003093	0	0	0	0	0.192645078	0	0
160406	0.652076697	0	0	0	0	0	0	0	0.206450877	0	0	0	0	0	0	0	0	0
185633	0.652076697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
549500	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
355913	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
248012	2.86507042	1.459431619	2.263034406	0.289506617	0.584962501	1.678071905	0.770518154	1.295455884	1.914270126	1.321928095	1.473931188	3	1.662965013	0.874469118	2.087462841	0.777607579	1.874469118	1.289506617
248927	0	1.700439718	0	0.152003093	1.662965013	1.765534746	0.304854582	1.862496476	0	1.247927513	0	0	0	0.415037499	0	1.514573173	0	0.530514717
534626	0	0	0.263034406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
235321	0	0.321928095	0	0.289506617	0.415037499	0	0.304854582	0	0	0	0	0	0	0	0.321928095	0.652076697	0	0
5822	0	0	0	0	0	0	0	0.125530882	0	0	0	0.415037499	0	0	0	0	0	0
561077	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
237372	0	0.321928095	0	0.289506617	0.222392421	0.584962501	0	0.447458977	0	0.700439718	0.152003093	0	0.222392421	0	0	0.652076697	0.152003093	0.530514717
91507	0	0	0	0	0	0	0	0	0.206450877	0	0	0	0	0	0	0	0	0
256695	0	0	0	0.152003093	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240981	0	0.169925001	0	0	0	0	0.160464672	0.628031223	0	0.807354922	0.152003093	0	0	0.222392421	0	0.362570079	0	0.289506617
258151	0	0	0	0	0	0.137503524	0	0	0	0	0	0	0	0	0	0	0	0
327863	0	0	0	0	0	0	0	0	0.206450877	0	0	0	0	0	0	0	0	0
241850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.289506617
105069	0	0.321928095	0.485426827	0.415037499	0.222392421	0.263034406	0.304854582	0.628031223	0.547487795	0.169925001	0	0	0.584962501	0	0.584962501	0.362570079	0	0.289506617
239915	0	0	0	0	0	0.137503524	0	0.2410081	0	0	0.830074999	0	0	0.502500341	0	0	0.637429921	0.152003093
512914	1.440572591	0	0	0	0	0	0	0	0	0	0	1.736965594	0	0	0	0	0	0
252301	0.652076697	0.906890596	0.263034406	0.91753784	1.415037499	1	0.160464672	1.540568381	0	1.169925001	1	0	0.222392421	0.662965013	0.584962501	1.652076697	1.152003093	1.289506617
252718	0	0.169925001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100167	0	0	0	0.152003093	0.222392421	0	0	0	0	0	0	0	0	0.222392421	0	0	0	0.152003093
1219	0	0	0.485426827	0	0	0	0	0	0.206450877	0	0	0	0.222392421	0	0	0	0	0
32029	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139171	0	0.169925001	0.485426827	0.289506617	0.222392421	0	0	0	0.206450877	0.169925001	0	0	0.736965594	0	0.584962501	0.362570079	0	0.152003093
159131	0.652076697	0	1.137503524	0	0.222392421	0	0	0	0	0	0	1	0.222392421	0	0	0	0.152003093	0
265411	4.038135129	0	2.807354922	2.115477217	0	0	2.599037686	0	2.566346823	0	0	4.36923381	3.345774837	0.222392421	3.882643049	0	0	0
159208	2.807354922	0.584962501	2	1.152003093	0.584962501	0	1.197939378	0	1.584962501	0.321928095	0	3	0.584962501	0	1	0.192645078	0	0
238582	0	0	0	0	0.222392421	0.137503524	0	0	0	0	0.152003093	0	0	0	0	0	0	0
306876	0	0	0	0	0	0	0.436099115	0	0	0	0	0	0	0	0	0	0	0
243926	0.362570079	0.459431619	0.263034406	0	0.584962501	2	0.304854582	2.064130337	0	0.906890596	2.38466385	0	0	1.115477217	0.807354922	0.777607579	2.938599455	1.736965594
153852	1.099535674	0	0	0	0	0	0	0	0	0	0	0.736965594	0	0	0	0	0	0
312169	0.652076697	0	0	0	0	0.137503524	0.304854582	0	0	0	0	0.415037499	0	0	0.321928095	0.192645078	0	0
575032	0.362570079	0	0	0	0	0	0	0	0	0	0	0.736965594	0	0	0	0	0	0
9822	0.652076697	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
544772	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
159387	0	0	0	0	0	0	0	0.125530882	0	0	0	0	0	0	0	0	0	0
241975	0	0.321928095	0.263034406	1	0.222392421	0.137503524	0.304854582	0	0.206450877	0.169925001	0	0	0.222392421	0	0.584962501	0	0	0
223575	0	0	0	0	0	0	0	0	0.206450877	0	0	0	0	0	0	0	0	0
88158	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336455	0	0	0.263034406	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
78036	0.362570079	0	0	0	0	0	0	0.540568381	0.547487795	0	0	0.736965594	0.584962501	0	0	0	0	0
3248	0	0.459431619	0	0	0.222392421	0.137503524	0.160464672	0.125530882	0	0	0	0	0	0.415037499	0.321928095	0.362570079	0.152003093	0.289506617
239596	0	0	0	0	0	0	0	0	0	0	0.152003093	0	0	0	0	0	0	0
236202	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138923	0.362570079	1.247927513	2.263034406	1.289506617	1.222392421	0.765534746	1.46712601	0.628031223	2.321928095	1	0	0	2.321928095	0	2.584962501	1	0	0.289506617
87579	0	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
251213	0	0.459431619	0	0	0.222392421	0.485426827	0	0.2410081	0	0.906890596	0.152003093	0.415037499	0.222392421	0	0	0.362570079	0.289506617	0.152003093
256656	0	0	0	0	0	0	0	0.125530882	0	0	0.152003093	0	0	0.115477217	0	0	0	0
248616	0	2	0	0.736965594	1.115477217	0.765534746	0.160464672	1.347923303	0	2.584962501	2.289506617	0	0	0.807354922	0	1.362570079	2	1.530514717
589524	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139309	0	0	0	0	0	0	0.160464672	0.125530882	0	0.169925001	0	0	0	0.222392421	0	0	0.152003093	0.152003093
340460	0.652076697	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
238671	0.362570079	0	1	0.152003093	0	0	0	0	1.054447784	0	0	0.736965594	1.321928095	0	1.584962501	0	0	0
237272	0	0	0	0	0.222392421	0.378511623	0	0.125530882	0.206450877	0.169925001	0.289506617	0.415037499	0.222392421	0	0	0	0	0
254610	0.652076697	0	0	0	0	0	0	0	0	0	0	0.736965594	0	0	0	0	0	0
238545	0	0	0	0	0	0.678071905	0.160464672	0.628031223	0	0.169925001	0.637429921	0	0	0.736965594	0	0.514573173	0.289506617	1
307166	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138946	0	0.169925001	0	0.415037499	0.222392421	0	0.304854582	0.2410081	0	0.169925001	0	0	0	0	0	0.362570079	0	0
199683	0.362570079	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
252410	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
74722	0	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
250645	1.099535674	1.584962501	0.678071905	1.353636955	1.807354922	1.378511623	0.304854582	1.295455884	0.206450877	1	0.637429921	0.415037499	0	0.736965594	1	2	0.530514717	1.222392421
159252	2.321928095	0	0.485426827	0	0	0	0	0	0.387023123	0	0	1.874469118	0	0	0	0	0	0
237816	0.362570079	0	0.263034406	0.152003093	0	0	0.436099115	0	0.206450877	0	0	0	0	0	1	0	0	0
570233	0	0	0.263034406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15343	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
240333	0	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
159254	1.716207034	0.169925001	1.263034406	0.289506617	0.736965594	0.678071905	0.556393349	0.347923303	1.343954401	0.321928095	0.530514717	2.415037499	1	0.584962501	1.459431619	0.192645078	0.736965594	0.736965594
272208	0	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
578911	0.362570079	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
145698	0.362570079	0	0	0.152003093	0	0.137503524	0	0	0	0.169925001	0.289506617	0.415037499	0.415037499	0	0	0	0	0
237654	0	0.169925001	0	0	0.584962501	0.765534746	0	1	0.547487795	0	0.91753784	0	0	1	0.321928095	0.514573173	0.91753784	0.91753784
241933	0	2.169925001	0	1.222392421	2	2.03562391	0.956931278	2.184424571	0	2.754887502	1.222392421	0	0.222392421	1.841302254	0.321928095	2.192645078	0.91753784	1.830074999
250068	0	0.459431619	0	0.289506617	0	0.137503524	0	0.125530882	0	0.459431619	0	0	0.222392421	0.115477217	0	0.362570079	0	0
12395	0.362570079	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
572325	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
471141	0.652076697	0	0.263034406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
165020	0	0	0	0	0	0	0	0	0	0	0	0.736965594	0	0	0	0	0	0
251576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.152003093	0
247875	0	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
138844	0	0.807354922	0.263034406	0.530514717	1.321928095	0.584962501	1.041820176	0.710493383	0.206450877	1.247927513	0.415037499	0	0.222392421	0	0.321928095	1.362570079	0.289506617	0.289506617
239617	0	0	0.263034406	0	0	0	0	0	0.206450877	0	0	0	0	0	0	0	0	0
154577	0	0	0	0.415037499	0	0	0.160464672	0.125530882	0	0	0	0.415037499	0	0	0.321928095	0	0	0
236702	0.362570079	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
159150	0	0	0.847996907	0	0	0	0	0	0.387023123	0	0	0	0.222392421	0	0.807354922	0	0	0
242567	0	0.169925001	0	0.152003093	0	0.137503524	0	0	0	0	0.152003093	0	0.222392421	0.321928095	0	0.192645078	0.289506617	0.152003093
249482	0	0.169925001	0	0	0.415037499	0	0	0	0	0.169925001	0	0	0	0	0	0.192645078	0	0
252777	0	1.169925001	0	0.91753784	0.874469118	0.584962501	0.866733469	0.788495895	0	0.169925001	0	0.415037499	1	0.222392421	1	0.777607579	0	0.415037499
159156	0	0	0	0	0	0	0	0.125530882	0	0	0	0	0	0	0	0	0	0
2604	0.362570079	0	0	0	0	0	0	0	0	0	0	0.415037499	0	0	0	0	0	0
528842	0	0	0.263034406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
535040	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
217507	0	0	0.263034406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142545	0.362570079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
