Subject	Scaling factor	Quantile value	Number of identified features	Library size
GN01P.484257	83	2	82	400
GN06P.o.484262	163	8	64	400
GN02P.484248	65	5.25	52	400
GN04P.484258	105	7.5	63	400
GN05P.o.484260	141	7	62	400
GN07P.o.484246	146	8	66	400
GN04P.o.484251	108	7.25	64	400
GN07P.484259	141	9	65	400
GN02P.o.484250	83	5	56	400
GN06P.484247	114	6.5	63	400
GN09P.484254	115	7	54	400
GN01P.o.484256	65	2.25	72	400
GN03P.o.484249	97	6	55	400
GN08P.o.484263	127	9.25	56	400
GN03P.484253	87	4	64	400
GN05P.484261	103	6	66	400
GN09P.o.484264	96	6	58	400
GN08P.484265	106	5	70	400
