Subject	Scaling factor	Quantile value	Number of identified features	Library size
56.CA.LeftBackPaw.663863	1607	2	3096	759476
59.HA.RightPalm.663869	1400	2	2245	1327431
56.CA.RightFrontPaw.663872	2015	2	3877	1222968
59.HA.Forehead.663871	777.999999999998	1	2122	1200683
59.HB.LeftPalm.663884	874.999999999998	2	1493	828446
59.HB.RightPalm.663870	514.999999999998	1.24916172298174	1413	558571
56.CA.RightBackPaw.663868	1394	2	2663	743778
59.HB.Forehead.663865	501.999999999998	1	1225	822260
56.CA.Forehead.663874	1388	2	2399	813259
59.HA.LeftPalm.663875	1318	2	2185	1342957
56.CA.Mouth.663877	513.999999999998	1	1279	1229731
FL3.37a.1.663867	558.999999999998	1	1437	1534245
59.HB.Stool.663878	1013	2	1762	1806483
59.HA.Stool.663876	600.999999999998	1	1566	1645648
HI20.58e.2.663861	559.999999999998	1	1439	1683393
59.HA.Mouth.663864	388.999999999998	1	892	1332586
UT15.52a.663879	580.999999999998	1	1236	1633023
59.HB.Mouth.663866	526.999999999998	1	1090	1910555
UT15.51a.663882	1316	2	2424	1731577
FL3.37a.2.663880	514.999999999998	1	1154	1530600
FL3.37a.3.663873	1203	2	2205	1449878
56.CA.Stool.663862	671.999999999998	1	1737	1425463
HI20.58e.3.663881	525.999999999998	1	1417	1302337
FL3.36a.3.663883	1046	2	1955	1656159
