Subject	Scaling factor	Quantile value	Number of identified features	Library size
56.CA.LeftBackPaw.663863	208	1	370	1000
59.HA.RightPalm.663869	102	1	169	1000
56.CA.RightFrontPaw.663872	211	1	367	1000
59.HA.Forehead.663871	81.9999999999997	1	183	1000
59.HB.LeftPalm.663884	68.9999999999997	1.25945945945946	165	1000
59.HB.RightPalm.663870	126	2	157	1000
56.CA.RightBackPaw.663868	176	1	345	1000
59.HB.Forehead.663865	94.9999999999997	2	118	1000
56.CA.Forehead.663874	149	1	283	1000
59.HA.LeftPalm.663875	76.9999999999997	1	131	1000
56.CA.Mouth.663877	28.9999999999997	1.3027027027027	69	1000
FL3.37a.1.663867	44.9999999999997	1	100	1000
59.HB.Stool.663878	60.9999999999997	1	139	1000
59.HA.Stool.663876	59.9999999999997	2	104	1000
HI20.58e.2.663861	58.9999999999997	2	85	1000
59.HA.Mouth.663864	29.9999999999997	2	50	1000
UT15.52a.663879	40.9999999999997	2	68	1000
59.HB.Mouth.663866	40.9999999999997	2	54	1000
UT15.51a.663882	71.9999999999997	1	160	1000
FL3.37a.2.663880	35.9999999999997	2	60	1000
FL3.37a.3.663873	88.9999999999997	1	174	1000
56.CA.Stool.663862	51.9999999999997	2	84	1000
HI20.58e.3.663881	59.9999999999997	2	85	1000
FL3.36a.3.663883	58.9999999999997	1	138	1000
