Subject	Scaling factor	Quantile value	Number of identified features	Library size
56.CA.Stool.663887	179.999999999999	1	364	45984
59.HA.LeftPalm.663901	345.999999999999	2	676	45908
56.CA.RightFrontPaw.663898	1029	4	1425	46844
59.HA.RightPalm.663904	465.999999999999	4	664	51206
UT15.51a.663890	382.999999999999	2	747	69530
59.HB.Mouth.663892	168.999999999999	1	312	70224
59.HB.Forehead.663886	99.9999999999992	2	235	31869
59.HB.RightPalm.663903	138.999999999999	2	343	25781
59.HA.Forehead.663899	248.999999999999	3	530	46554
FL3.37a.2.663906	141.999999999999	1	333	65792
56.CA.LeftBackPaw.663888	894.999999999999	5	1114	32261
56.CA.RightBackPaw.663895	560.999999999999	4	902	23917
FL3.37a.3.663891	231.999999999999	1.03157894736844	709	55413
FL3.37a.1.663893	171.999999999999	1	418	56808
59.HA.Stool.663905	174.999999999999	1	510	66877
HI20.58e.2.663885	167.999999999999	1	404	60980
UT15.52a.663894	138.999999999999	1	311	55247
FL3.36a.3.663907	220.999999999999	1	664	64562
59.HB.Stool.663902	208.999999999999	1	600	68189
HI20.58e.3.663896	167.999999999999	1	397	48723
56.CA.Mouth.663897	165.999999999999	1	378	47838
56.CA.Forehead.663900	446.999999999999	6	640	30802
59.HB.LeftPalm.663908	269.999999999999	5	429	35317
59.HA.Mouth.663889	116.999999999999	1	262	54740
