Subject	Scaling factor	Quantile value	Number of identified features	Library size
56.CA.Stool.663887	52.9999999999997	2	72	1000
59.HA.LeftPalm.663901	67.9999999999997	1	122	1000
56.CA.RightFrontPaw.663898	227	1	387	1000
59.HA.RightPalm.663904	98.9999999999997	1	162	1000
UT15.51a.663890	80.9999999999997	1	163	1000
59.HB.Mouth.663892	23.9999999999997	1	53	1000
59.HB.Forehead.663886	82.9999999999997	2	106	1000
59.HB.RightPalm.663903	113	2	147	1000
59.HA.Forehead.663899	79.9999999999997	1	176	1000
FL3.37a.2.663906	39.9999999999997	2	64	1000
56.CA.LeftBackPaw.663888	216	1	369	1000
56.CA.RightBackPaw.663895	187	1	349	1000
FL3.37a.3.663891	78.9999999999997	1	162	1000
FL3.37a.1.663893	40.9999999999997	1.8062015503876	95	1000
59.HA.Stool.663905	78.9999999999997	2	123	1000
HI20.58e.2.663885	62.9999999999997	2	84	1000
UT15.52a.663894	44.9999999999997	2	71	1000
FL3.36a.3.663907	61.9999999999997	1.2093023255814	142	1000
59.HB.Stool.663902	94.9999999999997	2	136	1000
HI20.58e.3.663896	74.9999999999997	2	91	1000
56.CA.Mouth.663897	40.9999999999997	2	61	1000
56.CA.Forehead.663900	131	1	280	1000
59.HB.LeftPalm.663908	71.9999999999997	1	149	1000
59.HA.Mouth.663889	28.9999999999997	1.21705426356589	66	1000
