Subject	Scaling factor	Quantile value	Number of identified features	Library size
F10Space217.141045	16.9999999999996	1	33	289
F11Space217.141071	64.9999999999996	1	118	732
F12Space217.141068	50.9999999999996	1	99	580
L1Space217.141069	24.9999999999996	1	45	189
L3Space217.141024	23.9999999999996	1	39	292
M10Space217.141036	20.9999999999996	1	31	544
M11Space217.141008	52.9999999999996	2	58	536
M2Akey217.141030	119	2	166	1097
M2Bkey217.141063	130	2	181	1196
M2Ckey217.141092	154	2	203	1002
M2Dkey217.140994	140	2	185	879
M2Ekey217.141011	142	2	184	903
M2Enter217.141012	140	2	195	1275
M2Fkey217.141078	156	2	203	1020
M2Gkey217.141106	127	2	170	1118
M2Hkey217.141026	119	2	147	973
M2Ikey217.141000	157	2	201	1347
M2Indl217.141074	84.9999999999996	2	112	939
M2Indr217.141062	72.9999999999996	2	104	708
M2Jkey217.141038	111	2	157	950
M2Kkey217.141041	71.9999999999996	1	138	925
M2Lkey217.141048	99.9999999999996	2	144	1197
M2Lsft217.141056	114	2	154	1087
M2Midl217.141009	56.9999999999996	2	83	1091
M2Midr217.141082	94.9999999999996	2	131	1016
M2Mkey217.141014	85.9999999999996	2	114	958
M2Nkey217.141052	57.9999999999996	2	89	396
M2Okey217.141061	105	2	145	1075
M2Pinl217.141003	49.9999999999996	1.73684210526316	106	842
M2Pinr217.141039	122	2	138	1031
M2Pkey217.141105	76.9999999999996	1.26315789473684	162	607
M2Qkey217.141102	134	2	163	690
M2Rinl217.141058	67.9999999999996	2	82	1033
M2Rinr217.141027	58.9999999999996	1	120	862
M2Rkey217.141050	96.9999999999996	2	128	545
M2Rsft217.141034	80.9999999999997	1.52631578947368	171	1054
M2Skey217.141089	81.9999999999996	1	164	1300
M2Space217.140997	157	2	207	1011
M2Thml217.141005	103	2	125	1013
M2Thmr217.141087	68.9999999999996	2	100	715
M2Tkey217.141054	124	2	166	1234
M2Ukey217.141085	99.9999999999996	2	131	904
M2Vkey217.141022	129	2	185	1077
M2Wkey217.141070	80.9999999999996	1	165	906
M2Xkey217.141016	62.9999999999996	1	120	459
M2Ykey217.141095	131	2	167	1192
M2Zkey217.141015	147	2	209	987
M3Akey217.141006	46.9999999999996	1	77	625
M3Bkey217.141059	31.9999999999996	1.73684210526316	68	1074
