Subject	Scaling factor	Quantile value	Number of identified features	Library size
F11Space217.141071	57.9999999999997	1	95	500
F12Space217.141068	84.9999999999997	2	91	500
M10Space217.141036	18.9999999999997	1	29	500
M11Space217.141008	54.9999999999997	2	58	500
M2Akey217.141030	98.9999999999997	2	121	500
M2Bkey217.141063	103	2	124	500
M2Ckey217.141092	135	2	155	500
M2Dkey217.140994	127	2	141	500
M2Ekey217.141011	127	2	141	500
M2Enter217.141012	112	2	131	500
M2Fkey217.141078	127	2	140	500
M2Gkey217.141106	92.9999999999997	2	117	500
M2Hkey217.141026	86.9999999999997	2	104	500
M2Ikey217.141000	98.9999999999997	2	123	500
M2Indl217.141074	48.9999999999997	1	88	500
M2Indr217.141062	67.9999999999997	2	92	500
M2Jkey217.141038	107	2	119	500
M2Kkey217.141041	83.9999999999997	2	102	500
M2Lkey217.141048	86.9999999999997	2	103	500
M2Lsft217.141056	108	2	119	500
M2Midl217.141009	50.9999999999997	2	59	500
M2Midr217.141082	67.9999999999997	2	91	500
M2Mkey217.141014	46.9999999999997	1.61290322580645	86	500
M2Okey217.141061	86.9999999999997	2	105	500
M2Pinl217.141003	54.9999999999997	1	89	500
M2Pinr217.141039	76.9999999999997	2	93	500
M2Pkey217.141105	118	2	144	500
M2Qkey217.141102	115	2	139	500
M2Rinl217.141058	36.9999999999997	1	60	500
M2Rinr217.141027	74.9999999999997	2	90	500
M2Rkey217.141050	91.9999999999997	2	122	500
M2Rsft217.141034	66.9999999999997	1	121	500
M2Skey217.141089	59.9999999999997	1	100	500
M2Space217.140997	125	2	148	500
M2Thml217.141005	49.9999999999997	1.35483870967742	91	500
M2Thmr217.141087	65.9999999999997	2	88	500
M2Tkey217.141054	61.9999999999997	1.96774193548386	114	500
M2Ukey217.141085	74.9999999999997	2	104	500
M2Vkey217.141022	108	2	131	500
M2Wkey217.141070	64.9999999999997	1.70967741935483	119	500
M2Ykey217.141095	87.9999999999997	2	111	500
M2Zkey217.141015	123	2	148	500
M3Akey217.141006	45.9999999999997	1	71	500
M3Bkey217.141059	40.9999999999997	2	46	500
M3Ckey217.141073	19.9999999999997	1.19354838709677	36	500
M3Ekey217.141042	31.9999999999997	1	49	500
M3Gkey217.141037	27.9999999999997	1	41	500
M3Hkey217.141093	33.9999999999997	1	53	500
M3Indl217.141067	32.9999999999997	1	57	500
M3Indr217.140993	45.9999999999997	1	72	500
M3Lkey217.141097	44.9999999999997	1	68	500
M3Lsft217.141088	39.9999999999997	1	70	500
M3Midl217.141103	33.9999999999997	1	53	500
M3Midr217.141101	51.9999999999997	1	78	500
M3Mkey217.141107	41.9999999999997	1	69	500
M3Nkey217.141001	31.9999999999997	1	52	500
M3Pinl217.141094	56.9999999999997	1	88	500
M3Pinr217.141057	48.9999999999997	1	81	500
M3Pkey217.141031	47.9999999999997	1	70	500
M3Qkey217.141051	35.9999999999997	1	62	500
M3Rinl217.141100	25.9999999999997	1	36	500
M3Rinr217.141091	58.9999999999997	1	91	500
M3Rkey217.141025	49.9999999999997	1	78	500
M3Rsft217.140995	48.9999999999997	1	72	500
M3Space217.141098	37.9999999999997	1	63	500
M3Thml217.141040	29.9999999999997	1	50	500
M3Thmr217.140996	42.9999999999997	1	65	500
M3Tkey217.141081	25.9999999999997	1	45	500
M3Vkey217.141028	22.9999999999997	1	37	500
M3Wkey217.141104	26.9999999999997	1	46	500
M3Xkey217.141055	53.9999999999997	1	73	500
M3Ykey217.141023	33.9999999999997	1	60	500
M9Akey217.141086	47.9999999999997	2	49	500
M9Bkey217.141032	37.9999999999997	2	43	500
M9Ckey217.141013	23.9999999999997	1	37	500
M9Dkey217.141053	40.9999999999997	2	43	500
M9Ekey217.141044	22.9999999999997	1.48387096774193	42	500
M9Enter217.141084	26.9999999999997	1	48	500
M9Fkey217.141065	37.9999999999997	2	41	500
M9Gkey217.141099	22.9999999999997	1.48387096774193	42	500
M9Hkey217.140999	20.9999999999997	1	37	500
M9Indl217.141066	31.9999999999997	1	48	500
M9Indr217.140998	28.9999999999997	2	32	500
M9Midl217.141043	30.9999999999997	1	47	500
M9Midr217.141060	19.9999999999997	1	34	500
M9Mkey217.141007	28.9999999999997	1	46	500
M9Nkey217.141010	19.9999999999997	1	34	500
M9Okey217.141076	39.9999999999997	2	40	500
M9Pinl217.141035	35.9999999999997	1	57	500
M9Pinr217.141002	39.9999999999997	2	49	500
M9Pkey217.141096	36.9999999999997	2	40	500
M9Qkey217.141019	18.9999999999997	1	31	500
M9Rinl217.141020	25.9999999999997	1	45	500
M9Rinr217.141080	34.9999999999997	2	46	500
M9Skey217.141004	32.9999999999997	2	38	500
M9Thml217.141021	18.9999999999997	1	33	500
M9Thmr217.141049	50.9999999999997	2	55	500
M9Vkey217.141018	28.9999999999997	1	42	500
M9Wkey217.141090	13.9999999999997	1.16129032258064	25	500
M9Xkey217.141072	25.9999999999997	1	42	500
M9Ykey217.141029	23.9999999999997	1	40	500
R1Space217.141077	42.9999999999997	1	73	500
U2Space217.141047	34.9999999999997	1	63	500
