Subject	Scaling factor	Quantile value	Number of identified features	Library size
F11Tong.140366	67.9999999999992	13.2782874617737	30	1000
F11Urin.140632	16.9999999999992	1	33	1000
F12Fotl.140294	15.9999999999992	2	27	1000
F12Fotr.140597	22.9999999999992	2	35	1000
F12Indl.140710	79.9999999999992	1	120	1000
F12Labi.140407	41.9999999999992	3.09480122324159	54	1000
F12Mout.140450	66.9999999999992	3	67	1000
F12Navl.140828	16.9999999999992	1	32	1000
F12Nose.140365	28.9999999999992	1	50	1000
F12Nstl.140831	34.9999999999992	1	57	1000
F12Nstr.140310	43.9999999999992	2	54	1000
F12Pinl.140479	58.9999999999992	2	71	1000
F12Pinr.140498	42.9999999999992	1	68	1000
F12Plml.140300	129.999999999999	1	196	1000
F12Plmr.140839	118.999999999999	1	196	1000
F12Tong.140538	34.9999999999992	5.48012232415902	35	1000
F12Urin.140382	12.9999999999992	2	18	1000
F21Aptl.140686	20.9999999999992	1	41	1000
F21Aptr.140500	28.9999999999992	2	39	1000
F21Ewxl.140312	5.99999999999919	3.87767584097859	9	1000
F21Ewxr.140299	5.99999999999919	1.90825688073395	13	1000
F21Forr.140353	85.9999999999992	1	134	1000
F21Fotl.140348	11.9999999999992	4.90825688073395	13	1000
F21Frhd.140623	16.9999999999992	1	19	1000
F21Hair.140524	32.9999999999992	1.00305810397553	66	1000
F21Indl.140446	78.9999999999992	1	119	1000
F21Knel.140372	73.9999999999992	1	133	1000
F21Kner.140678	58.9999999999992	1	93	1000
F21Labi.140606	18.9999999999992	1.217125382263	38	1000
F21Mout.140380	49.9999999999992	2.44954128440367	73	1000
F21Navl.140840	43.9999999999992	1.32721712538226	89	1000
F21Nose.140573	13.9999999999992	1	20	1000
F21Nstl.140383	31.9999999999992	1	56	1000
F21Pinr.140773	13.9999999999992	2	16	1000
F21Plml.140704	92.9999999999992	1	137	1000
F21Plmr.140745	66.9999999999992	1	99	1000
F21Tong.140655	64.9999999999992	4	58	1000
F21Urin.140569	7.99999999999919	1	15	1000
F22Aptr.140609	21.9999999999992	2	31	1000
F22Ewxl.140693	9.99999999999919	9.57186544342508	8	1000
F22Ewxr.140747	7.99999999999919	2	11	1000
F22Fcsp.140783	76.9999999999992	1	153	1000
F22Fcsw.140281	134.999999999999	2	171	1000
F22Fotl.140421	12.9999999999992	1	25	1000
F22Fotr.140698	30.9999999999992	1	45	1000
F22Frhd.140836	11.9999999999992	1	18	1000
F22Hair.140512	66.9999999999992	2	78	1000
F22Indl.140644	65.9999999999992	1	109	1000
F22Indr.140640	67.9999999999992	1	123	1000
F22Knel.140720	76.9999999999992	1	141	1000
F22Labi.140560	57.9999999999992	1	96	1000
F22Mout.140788	71.9999999999992	3	75	1000
F22Nose.140758	18.9999999999992	1	28	1000
F22Nstl.140534	22.9999999999992	2	35	1000
F22Nstr.140671	28.9999999999992	2.15596330275229	46	1000
F22Pinl.140717	11.9999999999992	1	18	1000
F22Pinr.140355	4.99999999999919	3.95412844036697	7	1000
F22Plml.140347	67.9999999999992	1	108	1000
F22Plmr.140357	70.9999999999992	1	119	1000
F22Tong.140837	61.9999999999992	4	52	1000
F22Urin.140306	10.9999999999992	1.3394495412844	22	1000
M11Ewxl.140424	7.99999999999919	1	15	1000
M11Fcsp.140589	97.9999999999992	2	127	1000
M11Fotl.140711	28.9999999999992	1	55	1000
M11Glns.140664	23.9999999999992	2	37	1000
M11Tong.140453	42.9999999999992	4.6177370030581	51	1000
M12Aptl.140844	25.9999999999992	2	31	1000
M12Fotl.140774	54.9999999999992	1	88	1000
M12Frhd.140766	39.9999999999992	1	68	1000
M12Nose.140763	16.9999999999992	2	20	1000
M12Nstr.140690	30.9999999999992	2	41	1000
M12Tong.140559	48.9999999999992	4	54	1000
M31Aptl.140756	16.9999999999992	7.77064220183486	16	1000
M31Aptr.140474	25.9999999999992	3	31	1000
M31Ewxl.140375	3.99999999999919	1.9388379204893	9	1000
M31Ewxr.140754	4.99999999999919	7.35779816513761	8	1000
M31Fcsw.140368	82.9999999999992	1.71559633027523	169	1000
M31Fotr.140572	93.9999999999992	1	164	1000
M31Frhd.140336	13.9999999999992	1	19	1000
M31Hair.140713	25.9999999999992	1	36	1000
M31Indl.140291	70.9999999999992	1	124	1000
M31Indr.140588	67.9999999999992	1	133	1000
M31Nose.140415	9.99999999999919	1	17	1000
M31Nstr.140461	37.9999999999992	2	54	1000
M31Pinl.140703	33.9999999999992	1.48012232415902	69	1000
M31Pinr.140627	29.9999999999992	2	40	1000
M31Plml.140743	62.9999999999992	1	116	1000
M31Plmr.140505	66.9999999999992	1	135	1000
M31Tong.140808	34.9999999999992	3	46	1000
M32Aptl.140296	8.99999999999919	3.75535168195719	17	1000
M32Aptr.140847	11.9999999999992	1	23	1000
M32Ewxl.140473	11.9999999999992	1	19	1000
M32Ewxr.140697	5.99999999999919	1.90825688073395	13	1000
M32Fcsp.140470	45.9999999999992	1	87	1000
M32Fcsw.140646	70.9999999999992	2	113	1000
M32Forr.140802	71.9999999999992	1	118	1000
M32Fotr.140562	127.999999999999	1	201	1000
M32Frhd.140776	21.9999999999992	1	34	1000
M32Hair.140734	29.9999999999992	1	44	1000
M32Indl.140814	81.9999999999992	1	137	1000
M32Indr.140748	57.9999999999992	1	98	1000
M32Mout.140657	61.9999999999992	2	86	1000
M32Nose.140531	12.9999999999992	1	24	1000
M32Nstl.140853	34.9999999999992	1	65	1000
M32Nstr.140494	52.9999999999992	1	89	1000
M32Pinl.140666	33.9999999999992	1	58	1000
M32Plml.140507	85.9999999999992	1	154	1000
M32Plmr.140307	74.9999999999992	1	133	1000
M32Tong.140309	26.9999999999992	3.17125382262997	44	1000
F31Ewxr.140289	63.9999999999992	2	69	1000
F31Fcsw.140492	91.9999999999992	1	176	1000
F31Forl.140333	120.999999999999	2	119	1000
F31Forr.140586	63.9999999999992	1	127	1000
F31Fotl.140715	102.999999999999	1	151	1000
F31Fotr.140874	131.999999999999	1	178	1000
F31Frhd.140832	18.9999999999992	1	37	1000
F31Indl.140679	103.999999999999	2	118	1000
F31Knel.140379	41.9999999999992	1	78	1000
F31Labi.140819	9.99999999999919	2.69418960244649	21	1000
F31Mout.140605	40.9999999999992	2	68	1000
F31Nose.140465	31.9999999999992	1	51	1000
F31Plmr.140385	75.9999999999992	1	132	1000
F31Tong.140785	31.9999999999992	3.69418960244649	41	1000
F31Urin.140602	1.99999999999919	12.9266055045872	4	1000
F32Aptr.140339	83.9999999999992	3	84	1000
F32Ewxr.140535	69.9999999999992	4	49	1000
F32Fcsp.140464	68.9999999999992	1	131	1000
F32Fcsw.140706	85.9999999999992	1	164	1000
F32Forl.140724	66.9999999999992	2	83	1000
F32Forr.140528	54.9999999999992	2.43425076452599	75	1000
F32Fotl.140455	78.9999999999992	1	110	1000
F32Fotr.140582	72.9999999999992	1	104	1000
F32Frhd.140444	35.9999999999992	1	61	1000
F32Hair.140769	15.9999999999992	1	28	1000
F32Indl.140607	75.9999999999992	1	130	1000
F32Indr.140459	50.9999999999992	1	82	1000
F32Kner.140397	154.999999999999	2	169	1000
F32Labi.140727	18.9999999999992	4	18	1000
F32Mout.140603	59.9999999999992	2	84	1000
F32Nose.140543	15.9999999999992	1	26	1000
F32Nstl.140804	49.9999999999992	2	69	1000
F32Nstr.140767	67.9999999999992	3	63	1000
F32Plml.140737	101.999999999999	1	146	1000
F32Plmr.140529	97.9999999999992	1	160	1000
F32Tong.140410	48.9999999999992	6	36	1000
F32Urin.140725	0.99999999999919	25.6177370030581	3	1000
M21Aptr.140329	62.9999999999992	2	90	1000
M21Ewxl.140436	14.9999999999992	1	25	1000
M21Ewxr.140654	26.9999999999992	1	42	1000
M21Fcsp.140319	66.9999999999992	1	119	1000
M21Fcsw.140493	109.999999999999	2	154	1000
M21Forl.140771	97.9999999999992	1	186	1000
M21Forr.140361	90.9999999999992	1	167	1000
M21Fotl.140499	111.999999999999	1	190	1000
M21Fotr.140859	120.999999999999	1	174	1000
M21Frhd.140641	93.9999999999992	2	111	1000
M21Glns.140311	97.9999999999992	2	112	1000
M21Indl.140576	130.999999999999	2	185	1000
M21Indr.140425	117.999999999999	2	161	1000
M21Knel.140490	100.999999999999	1	200	1000
M21Mout.140501	65.9999999999992	4	63	1000
M21Nstl.140369	133.999999999999	2	174	1000
