Subject	Scaling factor	Quantile value	Number of identified features	Library size
6EU.397081	35.9999999999999	1	59	143
11BF.397088	16.9999999999999	1	28	339
8BF.397085	33.9999999999999	1	45	61
3BF.397093	18.9999999999999	2	24	219
7BF.397095	47.9999999999999	1	69	169
4BF.397072	14.9999999999999	1	24	113
17EU.397092	19.9999999999999	1.21348314606742	39	115
20EU.397084	58.9999999999999	2	75	229
9BF.397097	19.9999999999999	1	33	178
6BF.397080	36.9999999999999	1	54	105
17BF.397082	17.9999999999999	1	30	367
2BF.397074	36.9999999999999	1	59	155
3EU.397090	20.9999999999999	2	27	132
21EU.397077	62.9999999999999	2	74	343
13EU.397086	27.9999999999999	1	52	223
16BF.397071	19.9999999999999	2	33	583
13BF.397089	19.9999999999999	1	34	173
10BF.397096	18.9999999999999	1	33	341
12EU.397069	34.9999999999999	2	44	155
11EU.397091	24.9999999999999	2	29	232
1EU.397083	16.9999999999999	1	25	101
12BF.397073	13.9999999999999	1	26	565
15BF.397094	5.9999999999999	1.56179775280899	12	357
2EU.397076	30.9999999999999	2	36	292
5EU.397070	64.9999999999999	2	89	457
18EU.397078	36.9999999999999	2	44	221
10EU.397087	32.9999999999999	1	62	156
8EU.397075	51.9999999999999	2	68	257
19EU.397079	38.9999999999999	1	66	163
