Subject	Scaling factor	Quantile value	Number of identified features	Library size
6EU.397081	33.9999999999999	1	49	100
11BF.397088	8.99999999999992	1	15	100
3BF.397093	10.9999999999999	1	19	100
7BF.397095	29.9999999999999	1	47	100
4BF.397072	13.9999999999999	1	23	100
17EU.397092	19.9999999999999	1	36	100
20EU.397084	28.9999999999999	1	51	100
9BF.397097	9.99999999999992	1	20	100
6BF.397080	36.9999999999999	1	53	100
17BF.397082	5.99999999999992	1	14	100
2BF.397074	25.9999999999999	1	43	100
3EU.397090	11.9999999999999	1	24	100
21EU.397077	26.9999999999999	1	42	100
13EU.397086	21.9999999999999	1	36	100
16BF.397071	12.9999999999999	1	19	100
13BF.397089	11.9999999999999	1	24	100
10BF.397096	12.9999999999999	1	19	100
12EU.397069	16.9999999999999	1	36	100
11EU.397091	16.9999999999999	1	25	100
1EU.397083	16.9999999999999	1	25	100
12BF.397073	3.99999999999992	1	8	100
15BF.397094	4.99999999999992	1	8	100
2EU.397076	11.9999999999999	1	22	100
5EU.397070	12.9999999999999	1	33	100
18EU.397078	18.9999999999999	1	35	100
10EU.397087	32.9999999999999	1	48	100
8EU.397075	26.9999999999999	1	44	100
19EU.397079	36.9999999999999	1	50	100
