Subject	Scaling factor	Quantile value	Number of identified features	Library size
ESC.1.1.NPL.279598	53.9999999999995	1	112	2083
ESC.1.1.NPR.279616	35.9999999999995	1.60701754385965	87	1168
ESC.1.1.OPL.279586	53.9999999999995	2	89	1589
ESC.1.1.OPR.279601	90.9999999999995	4	121	2992
ESC.1.10.NPL.279418	0.999999999999521	1	1	1
ESC.1.10.NPR.279557	46.9999999999995	4.08421052631579	64	1639
ESC.1.10.OPL.279642	64.9999999999995	5	72	1892
ESC.1.10.OPR.279507	50.9999999999995	4	62	1610
ESC.1.11.NPL.279588	69.9999999999995	1	135	1342
ESC.1.11.NPR.279440	38.9999999999995	1	92	1358
ESC.1.11.OPL.279583	45.9999999999995	4.74035087719298	68	2076
ESC.1.11.OPR.279510	45.9999999999995	3.08421052631579	64	1745
ESC.1.12.NPL.279472	33.9999999999995	1.12280701754386	81	820
ESC.1.12.NPR.279656	26.9999999999995	1	62	562
ESC.1.12.OPL.279415	48.9999999999995	2	83	1733
ESC.1.12.OPR.279613	55.9999999999995	4	70	1506
ESC.1.13.NPL.279461	58.9999999999995	2	74	1112
ESC.1.13.NPR.279569	33.9999999999995	1	77	851
ESC.1.13.OPL.279467	39.9999999999995	2	70	1281
ESC.1.13.OPR.279546	41.9999999999995	2.70877192982456	80	1287
ESC.1.14.NPL.279634	43.9999999999995	2	59	727
ESC.1.14.NPR.279465	29.9999999999995	1	64	561
ESC.1.14.OPL.279594	80.9999999999995	5.12280701754386	81	1510
ESC.1.14.OPR.279478	66.9999999999995	5.05263157894737	76	1642
ESC.1.15.NPL.279679	33.9999999999995	1	63	669
ESC.1.15.NPR.279694	50.9999999999995	1	95	823
ESC.1.15.OPL.279496	42.9999999999995	2.22456140350877	74	1161
ESC.1.15.OPR.279514	163	2	233	1860
ESC.1.16.NPL.279658	65.9999999999995	1	112	936
ESC.1.16.NPR.279425	35.9999999999995	1	75	395
ESC.1.16.OPL.279516	47.9999999999995	4	45	282
ESC.1.16.OPR.279426	11.9999999999995	1	18	27
ESC.1.17.NPL.279521	38.9999999999995	1	79	936
ESC.1.17.NPR.279463	70.9999999999995	1	158	1300
ESC.1.17.OPL.279551	82.9999999999995	3	106	1318
ESC.1.17.OPR.279511	59.9999999999995	2.6140350877193	116	1870
ESC.1.18.NPL.279672	67.9999999999995	1	132	1562
ESC.1.18.NPR.279555	52.9999999999995	1	112	1297
ESC.1.18.OPL.279446	43.9999999999995	8.31578947368421	56	1959
ESC.1.18.OPR.279469	84.9999999999995	10.459649122807	48	1818
ESC.1.19.NPL.279568	25.9999999999995	1	61	950
ESC.1.19.NPR.279702	51.9999999999995	1	108	1528
ESC.1.19.OPL.279430	70.9999999999995	3	106	5754
ESC.1.19.OPR.279460	36.9999999999995	1	85	894
ESC.1.20.NPL.279618	52.9999999999995	1	107	1202
ESC.1.20.NPR.279585	47.9999999999995	1	94	1545
ESC.1.20.OPL.279671	76.9999999999995	2	131	1803
ESC.1.20.OPR.279692	44.9999999999995	1	96	1094
ESC.1.20a.NPL.279688	94.9999999999995	1	172	1313
ESC.1.20a.NPR.279509	70.9999999999995	1	163	1330
ESC.1.20a.OPL.279437	72.9999999999995	2	101	1126
ESC.1.20a.OPR.279474	29.9999999999995	2	49	1449
ESC.1.21.NPL.279495	47.9999999999995	1	111	2628
ESC.1.21.NPR.279563	46.9999999999995	1	106	1532
ESC.1.21.OPL.279436	44.9999999999995	4	68	2032
ESC.1.21.OPR.279651	51.9999999999995	3.98245614035088	71	2789
ESC.1.22.NPL.279684	83.9999999999995	3	114	2134
ESC.1.22.NPR.279578	60.9999999999995	2	93	1755
ESC.1.22.OPL.279645	72.9999999999995	5.22456140350877	74	4002
ESC.1.22.OPR.279421	95.9999999999995	4	106	2720
ESC.1.23.NPL.279626	45.9999999999995	1.54385964912281	111	1940
ESC.1.23.NPR.279419	46.9999999999995	1	106	1497
