Subject	Scaling factor	Quantile value	Number of identified features	Library size
ESC.1.1.NPL.279598	36.9999999999996	1	80	1000
ESC.1.1.NPR.279616	33.9999999999996	1	82	1000
ESC.1.1.OPL.279586	39.9999999999996	2	76	1000
ESC.1.1.OPR.279601	47.9999999999996	2.01092896174863	95	1000
ESC.1.10.NPR.279557	52.9999999999996	4	58	1000
ESC.1.10.OPL.279642	42.9999999999996	3.07103825136612	63	1000
ESC.1.10.OPR.279507	42.9999999999996	3	56	1000
ESC.1.11.NPL.279588	58.9999999999996	1	112	1000
ESC.1.11.NPR.279440	37.9999999999996	1	83	1000
ESC.1.11.OPL.279583	35.9999999999996	3	59	1000
ESC.1.11.OPR.279510	31.9999999999996	2	58	1000
ESC.1.12.OPL.279415	32.9999999999996	2	70	1000
ESC.1.12.OPR.279613	37.9999999999996	3	65	1000
ESC.1.13.NPL.279461	29.9999999999996	1.11475409836066	73	1000
ESC.1.13.OPL.279467	35.9999999999996	2	65	1000
ESC.1.13.OPR.279546	41.9999999999996	2	76	1000
ESC.1.14.OPL.279594	104	6	72	1000
ESC.1.14.OPR.279478	69.9999999999996	5	64	1000
ESC.1.15.OPL.279496	36.9999999999996	2	72	1000
ESC.1.15.OPR.279514	78.9999999999996	1	173	1000
ESC.1.17.NPR.279463	73.9999999999996	1	139	1000
ESC.1.17.OPL.279551	79.9999999999996	3	98	1000
ESC.1.17.OPR.279511	49.9999999999996	2	97	1000
ESC.1.18.NPL.279672	60.9999999999996	1	106	1000
ESC.1.18.NPR.279555	46.9999999999996	1	99	1000
ESC.1.18.OPL.279446	56.9999999999996	6	48	1000
ESC.1.18.OPR.279469	63.9999999999996	6	44	1000
ESC.1.19.NPR.279702	41.9999999999996	1	84	1000
ESC.1.19.OPL.279430	46.9999999999996	3	58	1000
ESC.1.20.NPL.279618	43.9999999999996	1	92	1000
ESC.1.20.NPR.279585	32.9999999999996	1	69	1000
ESC.1.20.OPL.279671	65.9999999999996	2	108	1000
ESC.1.20.OPR.279692	42.9999999999996	1	93	1000
ESC.1.20a.NPL.279688	79.9999999999996	1	146	1000
ESC.1.20a.NPR.279509	74.9999999999996	1	147	1000
ESC.1.20a.OPL.279437	38.9999999999996	1.81967213114754	97	1000
ESC.1.20a.OPR.279474	23.9999999999996	2	41	1000
ESC.1.21.NPL.279495	27.9999999999996	1	65	1000
ESC.1.21.NPR.279563	39.9999999999996	1	90	1000
ESC.1.21.OPL.279436	41.9999999999996	3	53	1000
ESC.1.21.OPR.279651	43.9999999999996	3	59	1000
ESC.1.22.NPL.279684	62.9999999999996	2	95	1000
ESC.1.22.NPR.279578	32.9999999999996	1	78	1000
ESC.1.22.OPL.279645	34.9999999999996	3	58	1000
ESC.1.22.OPR.279421	62.9999999999996	3	81	1000
ESC.1.23.NPL.279626	38.9999999999996	1	80	1000
ESC.1.23.NPR.279419	44.9999999999996	1	91	1000
ESC.1.23.OPL.279686	50.9999999999996	2.60655737704918	94	1000
ESC.1.23.OPR.279677	35.9999999999996	2	67	1000
ESC.1.23a.NPL.279641	54.9999999999996	1	112	1000
ESC.1.23a.NPR.279630	59.9999999999996	1	116	1000
ESC.1.23a.OPL.279473	34.9999999999996	2	61	1000
ESC.1.23a.OPR.279477	44.9999999999996	3	59	1000
